dong_code,dong_name,station_count_준고속철도,행정동전체면적_m2,상업업무지역비율_pct,공공시설지역비율_pct,주거지역비율_pct,station_count_고속철도,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,아파트비율_퍼센트,station_count_지하철,station_count_일반철도,worker_density,business_density,station_density_지하철,기타지역비율_pct
11010530,사직동,0,1158554.8,16.68,21.77,31.31,0,1123,5344,2531,57319,4855,59.92,6,0,0.04947456952360411,0.004190565694396237,5.178865945700808e-06,30.239999999999995
11010540,삼청동,0,1477215.88,0.74,9.15,22.16,0,249,1188,811,5068,992,0.0,1,0,0.0034307781743895768,0.0006715335337400276,6.769491267540602e-07,67.95
11010550,부암동,0,2274776.33,0.46,0.0,33.64,0,1196,5294,2595,3959,894,4.06,0,0,0.0017403908893243126,0.00039300567190096876,0.0,65.9
11010560,평창동,0,8947475.94,1.16,0.12,16.12,0,2534,9706,5147,4246,1300,17.64,0,0,0.00047454723862551726,0.0001452923716941056,0.0,82.6
11010570,무악동,0,369526.45,0.0,0.0,50.31,0,1471,4371,2119,1424,362,95.16,1,0,0.003853580711100556,0.0009796321751533717,2.7061662297054465e-06,49.69
11010580,교남동,0,346931.28,11.07,6.0,60.02,0,1527,5870,2318,7053,566,65.34,2,0,0.020329674510170148,0.0016314470115917062,5.764830429652672e-06,22.909999999999997
11010600,가회동,0,540013.34,5.93,9.45,53.61,0,462,2232,1166,8964,959,0.0,1,0,0.01659958992834141,0.0017758820550289392,1.8518061053482161e-06,31.010000000000005
11010610,종로1·2·3·4가동,0,2417179.04,34.4,1.6,11.63,0,374,3886,2423,111951,16483,60.86,15,0,0.046314732234123974,0.006819105960778068,6.205580865841838e-06,52.37
11010630,종로5·6가동,0,603176.73,54.98,2.54,20.0,0,359,3497,1528,20911,7290,32.33,8,0,0.03466811459993379,0.012086010015471155,1.326311112808906e-05,22.480000000000004
11010640,이화동,0,782407.76,9.85,26.4,40.09,0,487,4510,1902,18513,1761,7.4,3,0,0.023661575135404313,0.0022507445478013826,3.834317798639493e-06,23.659999999999997
11010670,창신1동,0,305150.31,39.45,0.0,38.1,0,280,2483,1758,5212,2331,51.94,8,0,0.0170801071767851,0.007638858370891418,2.6216588145487493e-05,22.44999999999999
11010680,창신2동,0,257519.3,0.0,0.51,92.75,0,495,4317,2698,1921,1011,13.61,5,0,0.007459635063955998,0.003925919338708753,1.941602046839146e-05,6.739999999999995
11010690,창신3동,0,216839.02,0.0,0.0,91.14,0,708,3708,1929,1152,382,80.14,3,0,0.00531269694885576,0.0017616755507490454,1.3835148304311876e-05,8.86
11010700,숭인1동,0,239400.01,0.53,0.0,71.09,0,533,3426,1823,1892,689,40.6,5,0,0.007903090730534927,0.002878028284005584,2.0885546328052135e-05,28.379999999999995
11010710,숭인2동,0,351912.03,41.6,0.0,38.76,0,487,6829,2505,5611,2239,52.75,6,0,0.015944325631154343,0.006362385508493063,1.704971552074961e-05,19.64
11010720,청운효자동,0,2570520.17,2.21,0.0,24.81,0,1680,6719,2950,5330,1462,5.93,1,0,0.0020735102809869275,0.0005687564785746507,3.89026319134508e-07,72.98
11010730,혜화동,0,1132439.61,2.69,0.58,51.67,0,1693,10547,3629,8696,2246,17.4,2,0,0.007678996675083812,0.0019833287180586754,1.7660985913256238e-06,45.059999999999995
11020520,소공동,0,943810.48,37.38,23.78,1.11,0,289,1501,395,68391,4702,96.49,8,0,0.07246264101589059,0.004981932389593916,8.47627799165277e-06,37.73
11020540,회현동,1,897841.9,37.79,10.83,16.12,3,365,2274,1755,48793,8489,67.66,10,4,0.054344757133139535,0.009454894007403142,1.1137818361883781e-05,35.260000000000005
11020550,명동,0,969618.23,57.98,7.31,10.4,0,170,1481,944,140423,8437,46.02,15,0,0.14482297841961136,0.008701362803289071,1.5470006169175782e-05,24.310000000000002
11020570,필동,0,1464710.15,5.87,8.68,17.99,0,336,2488,1188,26509,3505,46.24,8,0,0.018098461323435913,0.002392964915260586,5.461831475630439e-06,67.46000000000001
11020580,장충동,0,1017941.33,7.72,24.93,20.03,0,390,3009,1149,7456,950,8.01,13,0,0.00732458716449479,0.0009332561435448028,1.277087354324467e-05,47.32
11020590,광희동,0,737215.76,42.41,15.61,18.52,0,307,3911,1572,33150,8662,75.61,16,0,0.044966483081629094,0.011749613166005165,2.170327991873501e-05,23.460000000000008
11020600,을지로동,0,611661.31,64.74,3.58,10.48,0,205,2115,708,31160,8714,90.3,16,0,0.05094322542566991,0.014246446288808974,2.6158267227558362e-05,21.200000000000003
11020650,신당5동,0,319711.38,12.78,3.65,57.45,0,966,6445,2750,4180,1574,67.33,5,0,0.01307429219400716,0.004923190409896476,1.5639105495223875e-05,26.120000000000005
11020670,황학동,0,328644.97,5.33,0.0,63.93,0,1106,8648,2943,5479,2417,72.45,8,0,0.01667148594981778,0.007354440872551482,2.434237773289692e-05,30.739999999999995
11020680,중림동,1,484392.13,13.21,11.65,45.87,3,1648,7373,3127,7672,1248,81.33,9,4,0.015838407613768653,0.0025764250132929195,1.8579988076631632e-05,29.27000000000001
11020690,신당동,0,534950.31,35.1,3.04,29.39,0,464,4781,2172,22759,11624,34.32,11,0,0.04254413835104527,0.021729120971595864,2.0562657492047014e-05,32.47
11020700,다산동,0,523979.23,3.42,0.0,71.07,0,1128,8160,4032,8772,2049,11.2,9,0,0.01674112158955726,0.00391046034393557,1.7176253340859023e-05,25.510000000000005
11020710,약수동,0,486240.61,0.55,0.0,63.82,0,1715,8907,5486,4279,1215,81.68,5,0,0.008800169940375812,0.0024987629066502946,1.0282974924486809e-05,35.629999999999995
11020720,청구동,0,342576.27,1.19,0.0,70.69,0,1364,7513,4094,4672,1235,78.35,5,0,0.013637838954413338,0.0036050366242937654,1.4595289976897835e-05,28.120000000000005
11020730,동화동,0,327050.79,8.92,0.0,61.99,0,1333,5632,2973,4177,1255,82.66,5,0,0.012771716588338719,0.003837324471717762,1.5288145305648454e-05,29.090000000000003
11030510,후암동,1,865906.04,2.96,5.63,53.31,3,1794,9892,4312,4775,1277,11.09,5,4,0.005514455124882666,0.001474755852246108,5.774298560086562e-06,38.099999999999994
11030520,용산2가동,0,1966884.87,0.0,0.88,14.13,0,696,5431,2785,2067,734,10.37,2,0,0.001050900350862677,0.0003731789344621214,1.0168363336842545e-06,84.99
11030530,남영동,1,1177807.87,11.21,14.53,17.78,3,353,4071,2405,18878,1919,25.21,8,4,0.01602808104843086,0.0016292979940639271,6.792279287395215e-06,56.48
11030570,원효로2동,0,708986.84,9.09,6.38,47.7,3,1710,8428,3498,5282,1262,64.98,5,4,0.007450067761378335,0.0017800048305299998,7.0523170781695715e-06,36.83
11030580,효창동,0,446193.32,0.0,29.56,56.7,0,1428,6916,2341,2158,703,49.68,6,0,0.004836468640883362,0.0015755502569698814,1.344708611923085e-05,13.739999999999995
11030590,용문동,0,277535.99,0.0,0.13,87.04,0,1266,6995,3146,2096,850,52.39,6,0,0.0075521736835805625,0.0030626658545054764,2.1618817796509245e-05,12.829999999999998
11030630,이촌1동,0,2872813.45,0.0,9.57,19.0,0,4807,14024,6102,4075,1469,99.75,6,0,0.001418470106364134,0.0005113454199383835,2.0885449418858417e-06,71.43
11030640,이촌2동,0,1205563.14,0.25,12.03,12.15,0,868,4529,2471,1085,478,84.42,1,0,0.0008999943379083405,0.0003964952014010938,8.294878690399452e-07,75.57
11030650,이태원1동,0,582908.09,11.66,0.0,64.04,0,443,3682,1895,7749,1838,32.25,2,0,0.013293690948545702,0.0031531557573141055,3.4310726412558275e-06,24.299999999999997
11030660,이태원2동,0,874257.67,2.16,0.21,50.94,0,767,5431,2465,3032,1064,23.37,3,0,0.003468085101232591,0.001217032502543363,3.4314826199530915e-06,46.690000000000005
11030690,서빙고동,0,2821993.99,3.06,16.66,15.85,0,2031,7294,3107,4650,721,61.78,5,0,0.001647771049995582,0.0002554931025907128,1.7717968279522386e-06,64.43
11030700,보광동,0,715107.87,0.0,0.0,59.16,0,801,6762,3584,1821,882,22.14,2,0,0.002546468968345343,0.0012333803569909898,2.7967808548548518e-06,40.84
11030710,청파동,1,886199.22,2.28,2.54,66.9,3,1459,12679,4705,10412,2255,1.19,8,4,0.011749051189508506,0.0025445745709125702,9.02731555090934e-06,28.28
11030720,원효로1동,0,589066.96,17.12,0.0,60.35,3,2038,11901,3068,9884,2212,66.05,9,4,0.01677907720343407,0.003755090932213291,1.5278398910451907e-05,22.53
11030730,한강로동,0,2869863.08,11.59,5.02,19.2,3,2208,14078,4730,53052,6011,81.55,10,4,0.018485899334199293,0.0020945250112695464,3.4844867929954185e-06,64.19
