dong_code,o_강원,o_경남,o_경북,o_광주,o_대구,o_대전,o_부산,o_세종,o_울산,o_전남,o_전북,o_제주,o_충남,o_충북,d_강원,d_경남,d_경북,d_광주,d_대구,d_대전,d_부산,d_세종,d_울산,d_전남,d_전북,d_제주,d_충남,d_충북
31170560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0
11030530,0,2,46,0,289,36,44,0,11,53,1,0,58,0,0,0,0,0,0,10,0,0,0,8,4,0,0,0
23310340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31092740,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,14,0
11120650,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,10,0,0,0,0
23310350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31092750,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,21,0
11120660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23310360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31092760,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0
11210780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0
11120670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
23060510,6,0,0,0,0,4,169,0,2,0,0,0,3,0,0,0,0,2,7,0,0,0,0,0,7,0,0,0
23310370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11210790,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,6,0,0,27,0,0,0,0,0,0,0
11120680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0
23060520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11030570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23310380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31092780,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11210800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,13,2426,0
23060530,0,0,1,0,0,5,10,0,0,4,0,0,0,0,0,0,10,0,0,0,0,0,0,2,4,0,3,4
11030580,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23310390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
