dong_code,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count
11010530,1386,5706,2443,47503,3555
11010540,316,1565,877,4600,724
11010550,1554,6005,2541,3419,564
11010560,2937,11054,4668,3418,732
11010570,1779,4941,1975,1226,229
11010580,1768,6573,2221,4557,389
11010600,574,2585,1224,12789,744
11010610,449,4113,2665,108741,15466
11010630,394,3429,1520,24522,7223
11010640,736,5230,1881,17222,1169
11010670,440,3016,1787,5881,2152
11010680,851,5262,2437,2171,820
11010690,992,4330,1784,854,240
11010700,732,3810,1647,1509,457
11010710,688,6313,2433,6852,1713
11010720,2159,7625,2950,5615,987
11010730,2204,11182,3539,8684,1632
11020520,287,1369,394,64145,3849
11020540,430,2795,2020,45209,8559
11020550,234,1680,1022,110383,6959
11020570,386,2433,1176,22422,2884
11020580,512,3100,1096,9166,804
11020590,343,2947,1615,36390,8432
11020600,88,1027,687,35329,8807
11020650,1265,6866,2423,4006,1142
11020670,1294,8647,2709,5602,1906
11020680,1856,7946,2820,7478,964
11020690,586,5059,1881,29863,11433
11020700,1554,9270,3702,9642,1324
11020710,2315,10127,5083,4027,736
11020720,1838,8739,3720,4328,790
11020730,1709,6577,2544,3987,947
11030510,2419,11243,4234,3551,821
11030520,1099,6406,2897,2003,534
11030530,502,4888,2381,20308,1605
11030570,2400,8800,3362,6759,870
11030580,1596,6560,2022,2115,351
11030590,1779,7776,2889,1715,556
11030630,5873,16365,6104,3590,790
11030640,1125,5253,2522,767,281
11030650,581,4144,2136,6984,1519
11030660,973,5735,2546,2155,664
11030690,2380,8101,2848,4641,372
11030700,1337,9079,3869,1988,752
11030710,2039,13135,4657,8433,1576
11030720,2262,10897,2832,10019,1710
11030730,1827,11866,4297,41402,4875
11030740,2331,13240,5063,17852,2020
11040520,2554,11102,3674,2650,717
11040540,3124,14864,5316,11518,2669
11040550,1262,8458,1982,10779,1009
11040560,2202,10321,3470,8551,1288
11040570,4282,15152,5120,1937,514
11040580,3079,9652,3389,927,268
11040590,2516,9804,3533,2006,464
11040620,2486,9354,3238,1939,579
11040650,2345,11134,3352,10606,1682
11040660,1898,9442,2998,21371,2736
11040670,1919,10917,4236,18235,2367
11040680,1208,7495,2639,52912,5468
11040690,1255,7121,2584,2591,593
11040700,1214,7948,3070,13189,1774
11040710,4169,17872,5229,9902,2063
11040720,3480,15018,5466,2535,878
11040730,4425,16910,5611,4126,805
11050530,1277,17629,3151,14945,2369
11050540,2101,13600,4165,9904,1476
11050550,1667,10580,3585,6146,1446
11050560,2852,14724,4649,6790,1505
11050570,1943,11071,4048,4369,1127
11050580,3867,19080,7168,4453,1226
11050590,1191,8134,2270,5658,737
11050600,2304,15655,4360,6875,1646
11050610,4395,16991,6058,5643,1040
11050620,4745,19289,5759,16460,2611
11050630,9176,21488,5229,16050,1334
11050640,2773,15415,4857,8826,1619
11050650,3863,16833,5764,5878,1216
11050660,5320,18011,5859,6010,1149
11050670,1756,11554,5144,6012,1658
11060710,1254,7030,2037,10776,992
11060720,1628,9494,3420,3477,849
11060730,3553,15372,5405,4334,625
11060800,2211,11614,7332,8132,1476
11060810,2945,19927,7736,28388,5015
11060820,2558,14786,7590,13355,4487
11060830,4086,18683,7769,7608,2068
11060840,3182,11360,4958,4681,748
11060860,4211,18345,7602,7259,1902
11060870,5419,24172,8912,20112,4020
11060880,5876,19742,7106,11143,2711
11060890,2198,12155,4492,6099,1070
11060900,3339,12139,5204,2126,521
11060910,4882,18738,5732,7660,1590
11070520,3222,16080,6295,5974,1730
11070540,2529,12082,5144,3561,894
11070550,1206,6040,2454,2889,669
11070570,2565,13453,5854,4105,1247
11070590,4147,15797,5390,6369,904
11070600,1752,13573,4186,9150,2003
11070610,2885,12847,4994,3345,844
11070620,2565,16914,7241,6462,1802
