dong_code,station_count
31130110,3
31130540,3
31180620,3
31180630,3
11020540,4
11020680,4
11030510,4
11030530,4
11030710,4
31070510,2
31070690,2
31012520,5
31012550,5
31012560,5
31013680,5
31013690,5
31041510,2
31041520,2
31041530,2
31041540,2
31042510,2
11070690,1
11070730,1
31580110,3
11190730,5
11190740,5
11190750,5
11190760,5
31140510,2
31140530,2
31140560,2
31140581,2
31580400,3
11030570,4
11030720,4
11030730,4
31580390,2
11060800,3
11060810,3
11060820,3
11060830,3
11060910,3
31023740,2
31023760,2
31070590,4
31070600,4
31070610,4
