dong_code,dong_name,station_count_준고속철도,행정동전체면적_m2,상업업무지역비율_pct,공공시설지역비율_pct,주거지역비율_pct,station_count_고속철도,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,아파트비율_퍼센트,station_count_지하철,station_count_일반철도
11010530,사직동,0,1157671.2996191066,12.58037655219366,2.5210998310166377,9.168483713512767,0,1123,5344,2531,57319,4855,59.92,6,0
11010540,삼청동,0,1476086.244918536,4.268350745238117,1.6338256690173247,4.139636608127883,0,249,1188,811,5068,992,0.0,1,0
11010550,부암동,0,2273044.4091353468,2.190655582872993,2.096652083970634,8.225045558757389,0,1196,5294,2595,3959,894,4.06,0,0
11010560,평창동,0,8940655.329911664,0.7657532388125766,0.4736663363121697,4.803285419579791,0,2534,9706,5147,4246,1300,17.64,0,0
11010570,무악동,0,369245.4822686503,2.919003591673484,2.3624504108347524,7.147563369387297,0,1471,4371,2119,1424,362,95.16,1,0
11010580,교남동,0,346667.13479939464,8.100110599266191,4.165433365674306,15.764483741761255,0,1527,5870,2318,7053,566,65.34,2,0
11010600,가회동,0,539599.8544892247,10.203017028739463,4.109892871629805,17.414913365347747,0,462,2232,1166,8964,959,0.0,1,0
11010610,종로1·2·3·4가동,0,2415326.730085671,21.688719150253,0.964531899910496,1.7796112622854712,0,374,3886,2423,111951,16483,60.86,15,0
11010630,종로5·6가동,0,602712.8344987278,29.245416769560663,2.8533965377225687,7.392420472680321,0,359,3497,1528,20911,7290,32.33,8,0
11010640,이화동,0,781806.2194507818,12.475704684534762,8.861895893515202,10.220077539615966,0,487,4510,1902,18513,1761,7.4,3,0
11010670,창신1동,0,304915.0810513392,25.071075724852204,4.157565328375156,13.191554794111369,0,280,2483,1758,5212,2331,51.94,8,0
11010680,창신2동,0,257320.96135152745,12.139633095179487,1.9318738562078053,29.63861056374473,0,495,4317,2698,1921,1011,13.61,5,0
11010690,창신3동,0,216671.8870710232,5.653647351246437,3.41286993391121,18.350931419050863,0,708,3708,1929,1152,382,80.14,3,0
11010700,숭인1동,0,239215.32115701263,8.524258820719417,1.8382555795117188,23.797794170604167,0,533,3426,1823,1892,689,40.6,5,0
11010710,숭인2동,0,351640.31189976155,23.250955474580408,2.838765385107826,17.280618215788074,0,487,6829,2505,5611,2239,52.75,6,0
11010720,청운효자동,0,2568560.056117465,3.5276484279119296,2.3233599087552728,7.364078428646762,0,1680,6719,2950,5330,1462,5.93,1,0
11010730,혜화동,0,1131570.126434548,7.627284755204207,7.489593086260005,17.061551562988214,0,1693,10547,3629,8696,2246,17.4,2,0
11020520,소공동,0,943090.0451435072,22.0534761542169,2.686253699842476,1.3303807375355354,0,289,1501,395,68391,4702,96.49,8,0
11020540,회현동,1,897156.106999932,18.862476376128164,1.085226930987087,3.901961735745703,3,365,2274,1755,48793,8489,67.66,10,4
