dong_code,dong_name,station_count_지하철,행정동전체면적_m2,주거지역비율_pct,상업업무지역비율_pct,공공시설지역비율_pct,station_count_고속철도,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,station_count_준고속철도,station_count_일반철도,아파트비율_퍼센트,worker_density,business_density,station_density_지하철,기타지역비율_pct
11010720,청운효자동,1,2568560.06,11.7,2.03,2.99,0,2159.0,7625.0,2950.0,5615.0,987.0,0,0,5.92,0.0021860497200046547,0.00038426198996341837,3.8932319145229826e-07,83.28
11010530,사직동,6,1157671.3,13.77,11.5,4.4,0,1386.0,5706.0,2443.0,47503.0,3555.0,0,0,43.36,0.04103323629046489,0.0030708198432225896,5.182818300797619e-06,70.33
11010540,삼청동,1,1476086.24,7.05,4.24,2.77,0,316.0,1565.0,877.0,4600.0,724.0,0,0,0.0,0.0031163490826720507,0.0004904862469249054,6.774671918852284e-07,85.94
11010550,부암동,0,2273044.41,11.39,2.05,2.25,0,1554.0,6005.0,2541.0,3419.0,564.0,0,0,3.9,0.0015041501102853324,0.0002481253764846234,0.0,84.31
11010560,평창동,0,8940655.33,6.34,0.88,0.56,0,2937.0,11054.0,4668.0,3418.0,732.0,0,0,15.75,0.000382298598238903,8.187319306930281e-05,0.0,92.22
11010570,무악동,1,369245.48,10.53,3.51,1.82,0,1779.0,4941.0,1975.0,1226.0,229.0,0,0,94.4,0.0033202843809131996,0.0006201836241673105,2.708225433045024e-06,84.14
11010580,교남동,2,346667.13,30.87,16.22,5.42,0,1768.0,6573.0,2221.0,4557.0,389.0,0,0,63.78,0.013145174738281497,0.0011221138848346505,5.769223058275838e-06,47.489999999999995
11010600,가회동,1,539599.85,26.89,9.94,5.0,0,574.0,2585.0,1224.0,12789.0,744.0,0,0,0.0,0.02370089613583657,0.001378799493710408,1.8532251259548495e-06,58.17
11010610,종로1·2·3·4가동,15,2415326.73,3.2,25.41,1.99,0,449.0,4113.0,2665.0,108741.0,15466.0,0,0,33.17,0.04502123818235961,0.006403274475389906,6.210339915352941e-06,69.4
11010630,종로5·6가동,8,602712.83,14.14,35.72,3.24,0,394.0,3429.0,1520.0,24522.0,7223.0,0,0,9.99,0.04068604280349091,0.01198414840427432,1.3273319567242775e-05,46.9
