dong_code,dong_name,station_count_준고속철도,station_count_2023_준고속철도,행정동전체면적_m2_x,상업업무지역비율_pct_x,공공시설지역비율_pct_x,주거지역비율_pct_x,행정동전체면적_m2_y,상업업무지역비율_pct_y,공공시설지역비율_pct_y,주거지역비율_pct_y,station_count_고속철도,station_count_2023_고속철도,pop_0_19_x,pop_20_59_x,pop_60_plus_x,worker_count_x,business_count_x,아파트비율_퍼센트_x,아파트비율_퍼센트_y,station_count_2023_일반철도,station_count_지하철,station_count_2023_지하철,pop_0_19_y,pop_20_59_y,pop_60_plus_y,worker_count_y,business_count_y,station_count_일반철도
11010530,사직동,0,0,1158554.800976358,16.682972835546497,21.767235045305416,31.30832825401626,1158554.800976358,16.682972835546497,21.767235045305416,31.30832825401626,0,0,1123,5344,2531,57319,4855,59.92,59.92,0,6,6,1123,5344,2531,57319,4855,0
11010540,삼청동,0,0,1477215.8756095318,0.7373116375292966,9.147707558070946,22.157067508660703,1477215.8756095318,0.7373116375292966,9.147707558070946,22.157067508660703,0,0,249,1188,811,5068,992,0.0,0.0,0,1,1,249,1188,811,5068,992,0
11010550,부암동,0,0,2274776.334630955,0.45529283219307,0.0,33.642853176845186,2274776.334630955,0.45529283219307,0.0,33.642853176845186,0,0,1196,5294,2595,3959,894,4.06,4.06,0,0,0,1196,5294,2595,3959,894,0
11010560,평창동,0,0,8947475.944916083,1.1583238780192229,0.1210380606471992,16.12271239391781,8947475.944916083,1.1583238780192229,0.1210380606471992,16.12271239391781,0,0,2534,9706,5147,4246,1300,17.64,17.64,0,0,0,2534,9706,5147,4246,1300,0
11010570,무악동,0,0,369526.4515600449,0.0,0.0044918897419888,50.31261033585815,369526.4515600449,0.0,0.0044918897419888,50.31261033585815,0,0,1471,4371,2119,1424,362,95.16,95.16,0,1,1,1471,4371,2119,1424,362,0
11010580,교남동,0,0,346931.2833146141,11.07290870018735,5.999084409702162,60.02060914861778,346931.2833146141,11.07290870018735,5.999084409702162,60.02060914861778,0,0,1527,5870,2318,7053,566,65.34,65.34,0,2,2,1527,5870,2318,7053,566,0
11010600,가회동,0,0,540013.3441710233,5.92719465558772,9.452727725814484,53.61008028137546,540013.3441710233,5.92719465558772,9.452727725814484,53.61008028137546,0,0,462,2232,1166,8964,959,0.0,0.0,0,1,1,462,2232,1166,8964,959,0
11010610,종로1·2·3·4가동,0,0,2417179.0435193316,34.39623010243377,1.598425945302508,11.625526789138966,2417179.0435193316,34.39623010243377,1.598425945302508,11.625526789138966,0,0,374,3886,2423,111951,16483,60.86,60.86,0,15,15,374,3886,2423,111951,16483,0
11010630,종로5·6가동,0,0,603176.7254881964,54.97624786244153,2.536490283085538,20.004936425728697,603176.7254881964,54.97624786244153,2.536490283085538,20.004936425728697,0,0,359,3497,1528,20911,7290,32.33,32.33,0,8,8,359,3497,1528,20911,7290,0
11010640,이화동,0,0,782407.7643301545,9.853481271150354,26.3961481185314,40.088461849644915,782407.7643301545,9.853481271150354,26.3961481185314,40.088461849644915,0,0,487,4510,1902,18513,1761,7.4,7.4,0,3,3,487,4510,1902,18513,1761,0
