권역 존체계_읍면동,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
1,0.0,10.945025569225988,49.52775737005534,37.21462610642871,8.486479520896406,64.49387937648984,64.14652201438174,27.273600754614662,27.93602664622695,26.814005724838673,26.417323063544572,26.01139411050803,26.763095587684713,25.996292543795683,24.901035268230327,28.598892688736413,29.896261417975893,32.465821521310616,31.6576051041835,469.08932575563284,22.65952883169742,21.635582072178448,18.921525397969432,18.732491077836762,20.885496925198648,22.809337828543587,13.921955818499919,36.01493815200041,54.46273174627535,11.068113204515718,45.148218011986735,32.196669803775485,29.92893895711197,414.0111053682028,29.028084704111905,33.155116919157614,28.0082373108586,26.777369322469017,25.206301340851446,24.80863007275317,21.892284446986825,18.004900723695123,15.597772968986506
2,10.945025569225988,0.0,38.624218056767624,26.302175210646308,19.03107210155189,60.97846639189694,53.3106692671939,16.813979503177276,17.299885593720372,16.259773554699294,15.671802762408932,15.485600216865166,16.36238248253178,15.595999110402655,14.69990264746456,18.08507543354303,19.158861981665098,21.674053859321624,20.764961071574557,464.54197639116717,11.745887464665003,10.750844550665143,7.983640807612412,9.071721658864963,11.074016088249447,12.780963725487725,22.05826527846105,26.97573607234363,44.005182437154374,13.859834517189876,35.12890055801588,26.117557020793686,24.23498910110402,408.6150143314567,23.639473907595523,26.274707641363417,20.215178365176644,19.778952379595633,18.343248577643266,19.116419620850838,16.75768721819649,13.618447990265304,15.035967222906887
3,49.52775737005534,38.624218056767624,0.0,12.323966520058084,57.16587052706348,67.32172894742865,14.908486838342037,24.973199305712164,23.697168810958267,24.947591908749512,24.479426923212408,25.69360691196686,25.583441020634858,26.157567962867013,27.61169961777052,23.74660663634586,21.56641389903049,19.081820651604573,17.870388262555288,453.90848514067926,26.878699607363902,28.324749331588574,30.649892073169212,33.12428735804657,31.378185178052863,29.564967338137315,57.7920941263646,22.52982189022656,11.087039367515825,47.609012097626085,14.148862959738517,34.1837049217795,35.276796597958544,394.98433583367137,36.112248893142684,31.529156299941825,29.596722736514597,32.049306995350406,32.779091528708044,35.52013037204651,37.0389393892797,38.82574582774256,44.37854632474757
4,37.21462610642871,26.302175210646308,12.323966520058084,0.0,44.9297863823379,62.664259122426934,27.112371578966805,13.711679774138725,12.303369715502246,13.475107037765495,12.665960048021528,14.124566717797148,14.289348556137217,14.721186882806471,16.158907091845077,12.70490632167735,10.365355671525466,8.450866517310748,5.578818789742691,456.79993150391147,14.558205614920537,16.06807622164742,18.32604292576971,21.141345627704695,19.56595400279846,17.90119564145295,45.937838393224986,16.101773480186743,19.522582925772326,35.84506360287742,14.511136534865672,26.408511904562225,26.805382201594885,398.8085273611822,27.386198323016583,24.09915321894608,20.206050968112336,22.496212816509324,22.81508902750729,25.650658086328324,26.560197498334198,27.68451883020145,33.082501757219916
5,8.486479520896406,19.03107210155189,57.16587052706348,44.9297863823379,0.0,70.928186220923,71.56306723436647,35.658357027937186,36.25998705153433,35.168049247092874,34.681654439274695,34.373176656855634,35.162038863538854,34.3933845148334,33.33448896340815,36.970214044714474,38.169383140326275,40.70151746928623,39.35104522375692,475.49345259007566,30.48463196494638,29.77890888578702,26.860532173654924,27.19853699777565,29.34974810538702,31.259688162552298,8.080308812551989,41.72317256715104,61.30184548231027,12.528059195636217,51.567541194707964,35.84354467109723,33.45107301213928,420.88020286321483,32.402635352253874,37.33004809034475,33.125913750529655,31.435734552534576,29.8998446395755,28.76692548291925,25.823187028853226,22.091920064185686,17.777991177227555
6,64.49387937648984,60.97846639189694,67.32172894742865,62.664259122426934,70.928186220923,0.0,77.3913679563115,52.904864339205716,54.03969558344935,53.6727780317882,55.32583961593955,53.69990778770752,52.69129968755478,52.93642030501547,52.31748967929648,52.92790608611272,54.69081056716791,55.15388398564151,61.97542602672255,404.6303121396265,60.49410355138368,57.730184819490006,60.005433854045116,53.75966311294871,52.853992075735114,52.543139092220365,78.19868188186555,76.89803602038356,78.38252007590164,73.79806079587195,76.99961100547112,83.09508993606642,82.06135170518624,350.05286602539655,81.92203254196217,81.91289970119723,75.73285406498496,76.76253620009454,75.88194040378039,77.84349771331105,76.3622884314313,74.07594369482965,75.98153712216306
7,64.14652201438174,53.3106692671939,14.908486838342037,27.112371578966805,71.56306723436647,77.3913679563115,0.0,39.820963787315065,38.57123773845491,39.82552942767136,39.38664307087952,40.580291699494246,40.43247604448311,41.02536837546341,42.47562710047877,38.56811968154978,36.43076496995,33.90395504967833,32.56562689103421,453.63290360585347,41.58351976369184,43.17405917711471,45.373475689006256,48.03276570696937,46.2794480598945,44.452986374152054,71.58893888880264,33.436714859046816,12.716323806724953,61.37661190224373,22.76486078046214,44.747083672253346,46.351804820824434,393.59735111784437,47.35159410382979,42.03425402759308,41.7971558909826,44.21712168872433,45.234641044921425,47.7640328533857,49.74573079648833,52.081730215609646,57.67465520496471
8,27.273600754614662,16.813979503177276,24.973199305712164,13.711679774138725,35.658357027937186,52.904864339205716,39.820963787315065,0.0,1.4389273334323527,0.8278793710851754,2.4601467288526453,1.3717269175950255,0.6117605278266649,1.3055930427613704,2.681058031587034,1.356318535879188,3.4222309336445633,5.926719263013852,10.125431917939308,452.6186587005075,8.479615625381426,6.828695899531686,10.169946356235139,8.799813654497456,6.751254922587012,4.786994884799441,38.745389246887804,24.286180214911486,33.23201660819184,29.678518435241696,27.254052066321456,30.49558940138665,29.76946748343681,395.7206937856083,29.83049147587175,29.100780375026144,23.108352734370673,24.47821499858071,23.885650901623517,26.288584514998668,25.63843733384227,24.74176607144322,28.89009094892753
9,27.93602664622695,17.299885593720372,23.697168810958267,12.303369715502246,36.25998705153433,54.03969558344935,38.57123773845491,1.4389273334323527,0.0,1.2583923252838671,1.8621286141277988,2.049340507008589,1.989059756611634,2.4646940108766513,3.921626389043435,1.2132668365952792,2.1520010640205647,4.771509637581426,8.710394757963074,453.29900760121603,8.024663347950328,6.880105724214922,10.220262070476485,9.744148494817379,7.796004643947155,5.897851081499457,39.07331515797357,23.02138228306266,31.825949694181464,29.818119812082998,25.819383577534364,29.563721205992934,28.925564070172886,396.2910494968651,29.032600758424323,28.08551431150509,22.19328039720662,23.661838864453337,23.144062488612434,25.620315374642203,25.118629989417265,24.432181413125395,28.775111257738516
10,26.814005724838673,16.259773554699294,24.947591908749512,13.475107037765495,35.168049247092874,53.6727780317882,39.82552942767136,0.8278793710851754,1.2583923252838671,0.0,1.6577122908743789,0.814717922544819,1.017595547824442,1.2460805112013675,2.693168262645712,1.8334371032551862,3.410256429054552,6.023427223523349,9.624012125181412,453.44631238412893,7.657387002814702,6.091837152517325,9.442852552629681,8.511159763992797,6.542726167256396,4.639464585732201,38.130416652402474,23.59507438584822,32.99287438510975,28.993093902290607,26.802732204040655,29.68606559101513,28.9489916126382,396.54370977293866,29.006332697875074,28.307600928413247,22.29741972851118,23.65582298665994,23.058976137678442,25.46072656095999,24.81656167899306,23.944697813301996,28.132630100019355
11,26.417323063544572,15.671802762408932,24.479426923212408,12.665960048021528,34.681654439274695,55.32583961593955,39.38664307087952,2.4601467288526453,1.8621286141277988,1.6577122908743789,0.0,1.7712410217291803,2.6387988519556207,2.552370424297383,3.750935873660907,3.012887215822362,3.48799406519405,6.055764411324795,8.364717288746572,455.0163278668547,6.186754911078781,5.088695003464546,8.404116826465295,8.659784441279184,6.923847382720098,5.244980468773634,37.32556623605057,22.0110014774649,32.10720083958434,28.00267416625151,25.560683410229377,28.035476426398784,27.31609892330552,398.06305106467687,27.386418268380684,26.649964324894523,20.64822850543568,22.029097088842356,21.45631026483174,23.88808363526782,23.31741923795263,22.578586589299913,26.914657809503137
12,26.01139411050803,15.485600216865166,25.69360691196686,14.124566717797148,34.373176656855634,53.69990778770752,40.580291699494246,1.3717269175950255,2.049340507008589,0.814717922544819,1.7712410217291803,0.0,1.1431349920335905,0.7884519171551649,2.0576591712205246,2.6013717364679323,4.195757812118492,6.8208080792368575,10.072639943294673,453.78588716422905,7.280407347720294,5.471955302122301,8.80589752012181,7.700490244942343,5.7487921182474535,3.8727152884471683,37.389436254592354,23.759915311871794,33.626834649433135,28.306867716120962,27.271934578601314,29.541501565880445,28.742371686804713,396.9449894206539,28.76857901074564,28.228915517098827,22.150445517880282,23.43697671814245,22.79179366908403,25.144742362438045,24.41605243486462,23.438328271535283,27.538539749325338
