dong_code,o_강원,o_경남,o_경북,o_광주,o_대구,o_대전,o_부산,o_세종,o_울산,o_전남,o_전북,o_제주,o_충남,o_충북,d_강원,d_경남,d_경북,d_광주,d_대구,d_대전,d_부산,d_세종,d_울산,d_전남,d_전북,d_제주,d_충남,d_충북
31170560,202,29,58,16,20,65,20,31,6,30,49,15,347,169,150,26,48,14,20,59,21,26,5,25,42,18,316,145
11030530,183,46,55,54,52,94,83,35,19,72,78,48,171,96,200,35,50,135,56,107,83,36,19,177,131,50,187,72
23310340,12,1,2,0,1,3,2,0,0,1,2,6,12,7,5,1,1,0,0,1,1,0,0,0,1,5,6,3
31041540,33,6,11,4,5,12,7,5,2,7,11,3,63,28,32,5,11,4,5,14,7,6,2,7,11,4,82,29
31092740,42,11,20,6,7,18,7,7,3,11,21,7,149,58,47,11,22,7,7,20,7,7,2,12,24,6,166,67
11200520,76,18,25,12,15,29,26,12,6,16,25,12,72,47,63,18,21,10,13,25,20,11,5,15,22,10,68,41
11120650,62,10,17,8,11,18,19,12,4,13,16,12,46,29,60,12,17,8,11,19,19,13,4,13,17,14,53,30
23310350,14,1,3,0,1,3,2,0,0,1,2,7,13,8,6,1,1,0,0,1,1,0,0,1,1,6,7,3
31041550,43,8,16,6,9,20,11,8,4,10,16,5,96,38,40,6,13,4,6,15,8,7,2,8,14,4,95,36
31092750,99,25,46,14,15,39,15,16,6,24,48,12,348,139,105,27,51,17,18,48,17,17,6,28,55,17,375,150
11200530,164,40,55,27,33,63,55,26,14,35,55,26,155,100,176,50,58,30,37,69,58,30,14,43,61,29,190,115
11120660,50,9,14,6,9,15,16,10,3,11,13,10,38,23,44,9,12,5,8,14,13,9,3,9,12,10,39,22
23310360,5,0,1,0,0,1,1,0,0,0,1,2,5,3,2,0,0,0,0,0,0,0,0,0,0,2,3,1
31041560,50,9,18,6,9,19,11,8,4,11,16,5,93,41,54,9,19,7,9,24,12,11,4,12,20,6,141,49
31092760,55,15,27,9,9,25,10,9,4,15,28,10,198,78,60,15,29,9,10,26,9,9,3,15,31,8,215,86
11200540,97,22,32,16,20,37,34,15,8,21,31,16,90,58,113,34,38,20,23,45,36,20,9,28,42,18,124,75
11210780,110,31,39,19,22,45,43,17,10,24,41,66,116,72,104,32,34,17,19,37,36,16,9,24,37,60,125,72
11120670,46,8,13,6,8,14,14,9,3,10,12,9,35,21,44,9,12,5,8,13,13,9,3,9,12,10,38,21
23060510,110,18,34,14,17,34,28,12,8,25,36,14,167,74,81,17,29,11,18,30,27,12,7,21,30,16,141,57
23310370,4,0,1,0,0,1,0,0,0,0,1,2,4,3,2,0,0,0,0,0,0,0,0,0,0,2,2,1
31041570,88,15,33,11,13,29,16,13,4,17,29,8,157,81,54,11,21,9,12,29,17,13,5,14,22,7,165,50
31092770,91,25,44,14,16,40,17,16,7,25,46,16,325,127,95,23,45,15,15,41,14,15,5,24,49,13,335,135
11200550,63,15,21,10,13,24,21,9,5,13,21,10,59,38,60,17,20,10,12,23,19,10,4,14,21,10,65,39
11210790,58,16,20,10,11,23,22,9,5,12,21,35,61,38,70,22,23,12,13,25,25,11,6,16,25,39,84,48
11120680,42,8,12,5,8,14,14,9,3,9,11,9,33,20,38,7,10,4,6,11,11,7,2,8,10,7,32,18
23060520,37,6,11,4,6,11,10,4,2,8,12,5,56,24,23,5,8,4,4,10,6,3,1,6,10,3,44,18
11030570,64,14,19,19,19,33,31,11,7,26,25,18,54,30,75,15,19,49,20,40,30,14,7,64,50,18,75,30
23310380,2,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0
31041580,49,7,15,8,7,21,9,8,3,8,17,3,116,49,21,3,7,2,3,8,4,3,1,4,7,3,48,18
31092780,68,18,33,11,12,30,13,12,5,19,34,12,243,95,75,18,36,11,12,33,11,12,4,19,39,10,268,108
11200560,95,23,32,15,19,36,32,15,8,20,31,15,89,57,76,22,25,13,15,30,24,13,6,18,27,12,82,50
11210800,147,35,49,23,27,57,51,19,11,29,51,70,147,92,111,38,39,21,24,44,45,20,11,28,43,75,133,78
23060530,45,7,14,6,7,14,12,5,3,10,15,6,68,30,35,7,12,6,7,14,10,5,2,9,14,6,64,26
11030580,56,14,18,18,19,32,31,11,7,24,24,17,51,27,74,15,18,47,18,38,27,14,6,62,49,16,76,31
23310390,6,0,1,0,0,1,1,0,0,0,1,3,6,4,3,0,0,0,0,1,0,0,0,0,0,3,4,2
