행정구역코드,아파트비율_퍼센트
11010530,59.92
11010540,0.0
11010550,4.06
11010560,17.64
11010570,95.16
11010580,65.34
11010600,0.0
11010610,60.86
11010630,32.33
11010640,7.4
11010670,51.94
11010680,13.61
11010690,80.14
11010700,40.6
11010710,52.75
11010720,5.93
11010730,17.4
11020520,96.49
11020540,67.66
11020550,46.02
11020570,46.24
11020580,8.01
11020590,75.61
11020600,90.3
11020650,67.33
11020670,72.45
11020680,81.33
11020690,34.32
11020700,11.2
11020710,81.68
11020720,78.35
11020730,82.66
11030510,11.09
11030520,10.37
11030530,25.21
11030570,64.98
11030580,49.68
11030590,52.39
11030630,99.75
11030640,84.42
11030650,32.25
11030660,23.37
11030690,61.78
11030700,22.14
11030710,1.19
11030720,66.05
11030730,81.55
11030740,54.34
11040520,81.3
11040540,63.24
11040550,40.19
11040560,80.32
11040570,95.74
11040580,73.28
11040590,85.05
11040620,85.6
11040650,69.16
11040660,66.72
11040670,46.49
11040680,67.17
11040690,34.92
11040700,24.56
11040710,86.54
11040720,68.77
11040730,95.95
11050530,28.52
11050540,16.8
11050550,10.82
11050560,5.88
11050570,11.74
11050580,4.16
11050590,1.39
11050600,16.86
11050610,20.31
11050620,66.32
11050630,87.85
11050640,16.51
11050650,38.85
11050660,82.56
11050670,41.86
11060710,52.14
11060720,70.63
11060730,64.92
11060800,63.34
11060810,65.02
11060820,40.15
11060830,55.62
11060840,85.04
11060860,84.26
11060870,58.19
11060880,61.59
11060890,46.15
11060900,77.4
11060910,81.92
11070520,35.5
11070540,52.11
11070550,48.79
11070570,49.43
11070590,66.99
11070600,39.73
11070610,36.93
11070620,13.51
11070640,60.58
11070650,30.57
11070680,1.55
11070690,87.59
11070700,99.85
11070710,12.3
11070720,32.44
11070730,60.39
11080580,92.68
11080590,94.46
11080600,35.17
11080610,60.1
11080620,78.01
11080630,38.21
11080640,13.49
11080650,56.91
11080660,96.76
11080680,93.36
11080710,74.75
11080720,59.32
11080760,23.16
11080770,8.98
11080780,85.19
11080810,10.83
11080820,44.49
11080830,26.28
11080840,65.65
11080850,45.55
11090600,24.88
11090610,39.8
11090620,94.81
11090630,10.14
11090640,36.42
11090650,15.97
11090690,39.32
11090700,17.62
11090710,35.53
11090720,18.23
11090730,99.29
11090740,12.72
11090750,7.74
11100510,28.13
11100520,44.36
11100530,37.04
11100540,88.59
11100550,54.32
11100560,4.49
11100570,95.51
11100590,80.91
11100600,33.77
11100610,28.69
11100620,99.16
11100630,79.97
11100640,15.78
11100650,90.28
11110510,61.21
11110520,94.61
11110530,99.35
11110560,84.94
11110580,88.61
11110590,100.0
11110600,81.99
11110610,99.93
11110640,94.99
11110650,80.94
11110660,64.89
11110690,55.68
11110720,100.0
11110730,100.0
11110740,100.0
11110760,63.24
11110770,100.0
11110780,99.58
11110790,67.48
11120510,40.8
11120520,55.51
11120550,19.98
11120560,16.3
11120570,27.3
11120580,32.57
11120590,58.12
11120600,81.77
11120650,31.87
11120660,37.29
11120670,56.01
11120680,90.07
11120710,96.92
11120720,10.49
11120730,14.83
11120740,12.82
11130520,85.34
11130620,65.87
11130640,59.17
11130650,82.34
11130660,72.92
11130680,35.24
11130690,97.58
11130700,67.39
11130710,79.09
11130720,18.77
11130730,48.4
11130740,79.37
11130750,28.93
11130760,29.98
11140590,83.56
11140600,57.2
11140610,72.82
11140630,69.9
11140660,29.96
11140680,17.75
11140690,21.63
11140700,42.84
11140710,15.54
11140720,10.37
11140730,75.67
11140740,90.72
11140750,83.36
11140760,70.13
11140770,63.75
11140780,96.64
11150510,95.24
11150520,27.35
11150530,30.91
11150540,37.65
11150570,21.49
11150580,55.23
11150590,25.16
11150600,55.56
11150610,30.91
11150620,86.89
11150630,39.71
11150640,89.97
11150650,87.37
11150660,89.65
11150690,100.0
11150700,98.16
11150710,100.0
11150720,19.01
11160510,90.07
11160520,72.36
11160530,39.91
11160540,97.97
11160550,9.27
11160570,5.6
11160580,54.84
11160590,10.51
11160610,41.61
11160630,8.3
11160640,85.29
11160650,100.0
11160660,100.0
11160670,76.14
11160690,49.33
11160700,74.17
11160710,54.1
11160720,91.68
11160730,32.51
11160740,72.11
11170510,95.21
11170520,98.44
11170540,74.77
11170550,72.3
11170560,77.52
11170610,82.52
11170620,54.46
11170640,59.67
11170650,29.02
11170670,59.88
11170690,17.77
11170700,4.38
11170710,26.29
11170720,54.92
11170730,70.55
11170740,88.11
11180510,50.3
11180520,78.67
11180530,4.67
11180540,22.77
11180550,10.86
11180570,47.54
11180580,95.21
11180590,11.65
11180600,26.03
11180610,25.48
11190540,100.0
11190550,70.62
11190560,84.1
11190610,78.54
11190620,63.08
11190630,41.5
11190650,67.08
11190660,71.63
11190670,53.99
11190680,71.62
11190690,91.29
11190700,51.89
11190710,38.24
11190720,55.44
11190730,57.39
11190740,69.31
11190750,39.72
11190760,96.02
11200520,15.46
11200530,60.42
11200540,75.82
11200550,12.88
11200560,15.94
11200630,11.39
11200650,68.73
11200660,23.35
11200670,59.49
11200680,61.08
11200690,71.82
11200700,62.53
11200710,83.46
11200720,78.08
11200730,78.39
11210520,22.46
11210540,82.79
11210570,49.39
11210580,42.69
11210610,28.15
11210620,18.72
11210630,39.88
11210640,18.81
11210650,17.11
11210660,33.58
11210680,6.57
11210690,30.52
11210710,78.61
11210720,44.74
11210730,49.59
11210780,56.91
11210790,82.98
11210800,55.0
11210810,11.66
11210820,67.27
11210830,41.47
11220510,67.21
11220520,92.47
11220530,63.11
11220540,99.14
11220550,88.25
11220560,100.0
11220570,72.77
11220580,100.0
11220590,99.91
11220600,61.9
11220610,60.21
11220620,35.19
11220630,41.25
11220640,83.33
11220650,47.9
11220660,74.04
11220670,12.42
11220680,87.19
11230510,76.84
11230520,31.87
11230530,51.1
11230580,70.17
11230590,72.92
11230600,99.19
11230630,31.33
11230640,29.24
11230650,76.7
11230660,86.7
11230670,95.26
11230680,98.72
11230710,46.27
11230720,94.78
11230730,58.11
11230740,100.0
11230750,99.21
11230760,92.54
11230770,90.71
11230780,74.56
11230790,92.44
11230800,97.43
11240510,51.85
11240520,74.07
11240530,44.52
11240540,89.14
11240550,44.6
11240560,25.26
11240570,43.14
11240580,16.55
11240590,100.0
11240600,55.63
11240610,14.47
11240620,69.79
11240630,9.21
11240640,3.96
11240650,58.59
11240660,100.0
11240670,61.24
11240680,50.47
11240690,100.0
11240710,17.5
11240750,100.0
11240770,100.0
11240780,100.0
11240790,100.0
11240800,100.0
11240810,78.18
11240820,99.37
11250530,81.9
11250540,90.0
11250550,87.16
11250560,82.98
11250580,78.54
11250590,85.25
11250610,31.85
11250630,55.65
11250650,49.81
11250660,38.88
11250670,40.58
11250700,0.0
11250710,61.34
11250720,26.89
11250730,34.94
11250740,63.79
11250750,99.77
11250760,87.88
11250770,98.73
23010520,93.83
23010530,38.82
23010540,73.39
23010560,10.17
23010570,0.0
23010580,14.32
23010630,0.0
23010640,79.07
23010650,56.03
23010660,99.69
23010670,24.14
23020510,59.02
23020520,33.41
23020530,69.03
23020550,89.97
23020570,98.42
23020580,98.8
23020590,7.88
23020600,75.15
23020610,92.49
23020630,69.69
23020640,0.0
23040510,65.47
23040520,81.11
23040530,75.39
23040540,94.72
23040550,100.0
23040560,54.2
23040570,96.35
23040580,100.0
23040590,100.0
23040600,82.61
23040640,100.0
23040650,100.0
23040660,100.0
23040680,99.94
23040690,100.0
23050510,68.75
23050520,84.83
23050530,40.23
23050540,8.65
23050550,61.41
23050560,73.23
23050570,41.46
23050580,63.47
23050590,61.57
23050600,79.94
23050610,49.87
23050620,91.33
23050630,23.97
23050640,89.02
23050670,48.94
23050720,92.45
23050730,96.69
23050740,94.28
23050750,63.21
23050760,98.72
23060510,83.03
23060520,15.84
23060530,43.61
23060540,45.2
23060550,55.38
23060560,51.52
23060570,91.99
23060580,91.43
23060590,73.66
23060600,94.12
23060610,57.19
23060620,73.01
23060630,40.73
23060640,96.03
23060650,85.75
23060660,35.01
23060670,67.12
23060680,91.69
23060690,59.99
23060700,78.26
23060710,31.46
23060720,98.61
23070510,71.03
23070520,66.87
23070530,36.83
23070540,46.62
23070550,90.17
23070560,84.6
23070570,68.79
23070580,81.28
23070610,54.28
23070620,98.45
23070630,54.94
23070640,49.86
23080510,58.11
23080530,43.0
23080540,82.55
23080550,99.91
23080560,30.75
23080580,44.9
23080590,44.04
23080600,33.91
