행정구역코드,아파트비율_퍼센트
11010530,43.36
11010540,0.0
11010550,3.9
11010560,15.75
11010570,94.4
11010580,63.78
11010600,0.0
11010610,33.17
11010630,9.99
11010640,6.96
11010670,49.69
11010680,13.64
11010690,80.62
11010700,36.58
11010710,29.03
11010720,5.92
11010730,17.28
11020520,60.44
11020540,67.11
11020550,32.63
11020570,29.45
11020580,9.09
11020590,42.79
11020600,27.37
11020650,63.03
11020670,50.88
11020680,73.12
11020690,23.44
11020700,10.32
11020710,80.83
11020720,76.19
11020730,81.45
11030510,11.19
11030520,9.69
11030530,16.52
11030570,68.46
11030580,46.22
11030590,54.22
11030630,99.47
11030640,84.08
11030650,32.21
11030660,23.12
11030690,61.55
11030700,15.62
11030710,1.21
11030720,54.34
11030730,46.24
11030740,40.07
11040520,77.84
11040540,60.38
11040550,38.93
11040560,66.39
11040570,95.72
11040580,73.49
11040590,84.13
11040620,84.08
11040650,63.27
11040660,51.99
11040670,43.25
11040680,50.65
11040690,32.36
11040700,13.97
11040710,76.64
11040720,67.59
11040730,94.32
11050530,18.53
11050540,16.45
11050550,3.86
11050560,5.67
11050570,11.71
11050580,4.27
11050590,0.79
11050600,4.26
11050610,17.94
11050620,62.49
11050630,84.64
11050640,14.84
11050650,38.95
11050660,81.08
11050670,28.81
11060710,45.89
11060720,51.11
11060730,60.44
11060800,58.3
11060810,39.9
11060820,37.6
11060830,46.55
11060840,83.93
11060860,80.87
11060870,51.36
11060880,57.35
11060890,34.04
11060900,74.86
11060910,75.82
11070520,36.94
11070540,52.8
11070550,8.85
11070570,46.12
11070590,67.87
11070600,24.67
11070610,37.41
11070620,13.23
11070640,58.91
11070650,31.2
11070680,1.67
11070690,87.56
11070700,95.74
11070710,9.17
11070720,30.6
11070730,41.24
11080580,91.94
11080590,94.67
11080600,27.73
11080610,51.48
11080620,77.18
11080630,39.29
11080640,14.39
11080650,57.81
11080660,96.13
11080680,85.93
11080710,74.26
11080720,58.2
11080760,1.58
11080770,5.85
11080780,70.39
11080810,10.54
11080820,39.47
11080830,21.19
11080840,65.28
