dong_code,dong_name,sido,sigungu,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,population_year,business_year
1101053,사직동,서울특별시,종로구,1123,5344,2531,57319,4855,2023,2023
1101054,삼청동,서울특별시,종로구,249,1188,811,5068,992,2023,2023
1101055,부암동,서울특별시,종로구,1196,5294,2595,3959,894,2023,2023
1101056,평창동,서울특별시,종로구,2534,9706,5147,4246,1300,2023,2023
1101057,무악동,서울특별시,종로구,1471,4371,2119,1424,362,2023,2023
1101058,교남동,서울특별시,종로구,1527,5870,2318,7053,566,2023,2023
1101060,가회동,서울특별시,종로구,462,2232,1166,8964,959,2023,2023
1101061,종로1·2·3·4가동,서울특별시,종로구,374,3886,2423,111951,16483,2023,2023
1101063,종로5·6가동,서울특별시,종로구,359,3497,1528,20911,7290,2023,2023
1101064,이화동,서울특별시,종로구,487,4510,1902,18513,1761,2023,2023
1101067,창신1동,서울특별시,종로구,280,2483,1758,5212,2331,2023,2023
1101068,창신2동,서울특별시,종로구,495,4317,2698,1921,1011,2023,2023
1101069,창신3동,서울특별시,종로구,708,3708,1929,1152,382,2023,2023
1101070,숭인1동,서울특별시,종로구,533,3426,1823,1892,689,2023,2023
1101071,숭인2동,서울특별시,종로구,487,6829,2505,5611,2239,2023,2023
1101072,청운효자동,서울특별시,종로구,1680,6719,2950,5330,1462,2023,2023
1101073,혜화동,서울특별시,종로구,1693,10547,3629,8696,2246,2023,2023
1102052,소공동,서울특별시,중구,289,1501,395,68391,4702,2023,2023
1102054,회현동,서울특별시,중구,365,2274,1755,48793,8489,2023,2023
1102055,명동,서울특별시,중구,170,1481,944,140423,8437,2023,2023
1102057,필동,서울특별시,중구,336,2488,1188,26509,3505,2023,2023
1102058,장충동,서울특별시,중구,390,3009,1149,7456,950,2023,2023
1102059,광희동,서울특별시,중구,307,3911,1572,33150,8662,2023,2023
1102060,을지로동,서울특별시,중구,205,2115,708,31160,8714,2023,2023
1102065,신당5동,서울특별시,중구,966,6445,2750,4180,1574,2023,2023
1102067,황학동,서울특별시,중구,1106,8648,2943,5479,2417,2023,2023
1102068,중림동,서울특별시,중구,1648,7373,3127,7672,1248,2023,2023
1102069,신당동,서울특별시,중구,464,4781,2172,22759,11624,2023,2023
1102070,다산동,서울특별시,중구,1128,8160,4032,8772,2049,2023,2023
1102071,약수동,서울특별시,중구,1715,8907,5486,4279,1215,2023,2023
1102072,청구동,서울특별시,중구,1364,7513,4094,4672,1235,2023,2023
1102073,동화동,서울특별시,중구,1333,5632,2973,4177,1255,2023,2023
1103051,후암동,서울특별시,용산구,1794,9892,4312,4775,1277,2023,2023
1103052,용산2가동,서울특별시,용산구,696,5431,2785,2067,734,2023,2023
1103053,남영동,서울특별시,용산구,353,4071,2405,18878,1919,2023,2023
1103057,원효로2동,서울특별시,용산구,1710,8428,3498,5282,1262,2023,2023
1103058,효창동,서울특별시,용산구,1428,6916,2341,2158,703,2023,2023
1103059,용문동,서울특별시,용산구,1266,6995,3146,2096,850,2023,2023
1103063,이촌1동,서울특별시,용산구,4807,14024,6102,4075,1469,2023,2023
1103064,이촌2동,서울특별시,용산구,868,4529,2471,1085,478,2023,2023
1103065,이태원1동,서울특별시,용산구,443,3682,1895,7749,1838,2023,2023
1103066,이태원2동,서울특별시,용산구,767,5431,2465,3032,1064,2023,2023
1103069,서빙고동,서울특별시,용산구,2031,7294,3107,4650,721,2023,2023
1103070,보광동,서울특별시,용산구,801,6762,3584,1821,882,2023,2023
1103071,청파동,서울특별시,용산구,1459,12679,4705,10412,2255,2023,2023
1103072,원효로1동,서울특별시,용산구,2038,11901,3068,9884,2212,2023,2023
1103073,한강로동,서울특별시,용산구,2208,14078,4730,53052,6011,2023,2023
1103074,한남동,서울특별시,용산구,2040,11005,4710,21222,3387,2023,2023
1104052,왕십리2동,서울특별시,성동구,2113,9953,4029,2409,1117,2023,2023
1104054,마장동,서울특별시,성동구,2387,13279,5907,12105,3557,2023,2023
1104055,사근동,서울특별시,성동구,987,8867,2093,11029,1205,2023,2023
