dong_code,dong_name,sido,sigungu,pop_0_19,pop_20_59,pop_60_plus,worker_count,business_count,population_year,business_year
1101053,사직동,서울특별시,종로구,1386,5706,2443,47503,3555,2019,2019
1101054,삼청동,서울특별시,종로구,316,1565,877,4600,724,2019,2019
1101055,부암동,서울특별시,종로구,1554,6005,2541,3419,564,2019,2019
1101056,평창동,서울특별시,종로구,2937,11054,4668,3418,732,2019,2019
1101057,무악동,서울특별시,종로구,1779,4941,1975,1226,229,2019,2019
1101058,교남동,서울특별시,종로구,1768,6573,2221,4557,389,2019,2019
1101060,가회동,서울특별시,종로구,574,2585,1224,12789,744,2019,2019
1101061,종로1·2·3·4가동,서울특별시,종로구,449,4113,2665,108741,15466,2019,2019
1101063,종로5·6가동,서울특별시,종로구,394,3429,1520,24522,7223,2019,2019
1101064,이화동,서울특별시,종로구,736,5230,1881,17222,1169,2019,2019
1101067,창신1동,서울특별시,종로구,440,3016,1787,5881,2152,2019,2019
1101068,창신2동,서울특별시,종로구,851,5262,2437,2171,820,2019,2019
1101069,창신3동,서울특별시,종로구,992,4330,1784,854,240,2019,2019
1101070,숭인1동,서울특별시,종로구,732,3810,1647,1509,457,2019,2019
1101071,숭인2동,서울특별시,종로구,688,6313,2433,6852,1713,2019,2019
1101072,청운효자동,서울특별시,종로구,2159,7625,2950,5615,987,2019,2019
1101073,혜화동,서울특별시,종로구,2204,11182,3539,8684,1632,2019,2019
1102052,소공동,서울특별시,중구,287,1369,394,64145,3849,2019,2019
1102054,회현동,서울특별시,중구,430,2795,2020,45209,8559,2019,2019
1102055,명동,서울특별시,중구,234,1680,1022,110383,6959,2019,2019
1102057,필동,서울특별시,중구,386,2433,1176,22422,2884,2019,2019
1102058,장충동,서울특별시,중구,512,3100,1096,9166,804,2019,2019
1102059,광희동,서울특별시,중구,343,2947,1615,36390,8432,2019,2019
1102060,을지로동,서울특별시,중구,88,1027,687,35329,8807,2019,2019
1102065,신당5동,서울특별시,중구,1265,6866,2423,4006,1142,2019,2019
1102067,황학동,서울특별시,중구,1294,8647,2709,5602,1906,2019,2019
1102068,중림동,서울특별시,중구,1856,7946,2820,7478,964,2019,2019
1102069,신당동,서울특별시,중구,586,5059,1881,29863,11433,2019,2019
1102070,다산동,서울특별시,중구,1554,9270,3702,9642,1324,2019,2019
1102071,약수동,서울특별시,중구,2315,10127,5083,4027,736,2019,2019
1102072,청구동,서울특별시,중구,1838,8739,3720,4328,790,2019,2019
1102073,동화동,서울특별시,중구,1709,6577,2544,3987,947,2019,2019
1103051,후암동,서울특별시,용산구,2419,11243,4234,3551,821,2019,2019
1103052,용산2가동,서울특별시,용산구,1099,6406,2897,2003,534,2019,2019
1103053,남영동,서울특별시,용산구,502,4888,2381,20308,1605,2019,2019
1103057,원효로2동,서울특별시,용산구,2400,8800,3362,6759,870,2019,2019
1103058,효창동,서울특별시,용산구,1596,6560,2022,2115,351,2019,2019
1103059,용문동,서울특별시,용산구,1779,7776,2889,1715,556,2019,2019
1103063,이촌1동,서울특별시,용산구,5873,16365,6104,3590,790,2019,2019
1103064,이촌2동,서울특별시,용산구,1125,5253,2522,767,281,2019,2019
1103065,이태원1동,서울특별시,용산구,581,4144,2136,6984,1519,2019,2019
1103066,이태원2동,서울특별시,용산구,973,5735,2546,2155,664,2019,2019
1103069,서빙고동,서울특별시,용산구,2380,8101,2848,4641,372,2019,2019
1103070,보광동,서울특별시,용산구,1337,9079,3869,1988,752,2019,2019
1103071,청파동,서울특별시,용산구,2039,13135,4657,8433,1576,2019,2019
1103072,원효로1동,서울특별시,용산구,2262,10897,2832,10019,1710,2019,2019
1103073,한강로동,서울특별시,용산구,1827,11866,4297,41402,4875,2019,2019
1103074,한남동,서울특별시,용산구,2331,13240,5063,17852,2020,2019,2019
1104052,왕십리2동,서울특별시,성동구,2554,11102,3674,2650,717,2019,2019
1104054,마장동,서울특별시,성동구,3124,14864,5316,11518,2669,2019,2019
1104055,사근동,서울특별시,성동구,1262,8458,1982,10779,1009,2019,2019
1104056,행당1동,서울특별시,성동구,2202,10321,3470,8551,1288,2019,2019
1104057,행당2동,서울특별시,성동구,4282,15152,5120,1937,514,2019,2019
1104058,응봉동,서울특별시,성동구,3079,9652,3389,927,268,2019,2019
1104059,금호1가동,서울특별시,성동구,2516,9804,3533,2006,464,2019,2019
1104062,금호4가동,서울특별시,성동구,2486,9354,3238,1939,579,2019,2019
1104065,성수1가1동,서울특별시,성동구,2345,11134,3352,10606,1682,2019,2019
1104066,성수1가2동,서울특별시,성동구,1898,9442,2998,21371,2736,2019,2019
1104067,성수2가1동,서울특별시,성동구,1919,10917,4236,18235,2367,2019,2019
1104068,성수2가3동,서울특별시,성동구,1208,7495,2639,52912,5468,2019,2019
1104069,송정동,서울특별시,성동구,1255,7121,2584,2591,593,2019,2019
1104070,용답동,서울특별시,성동구,1214,7948,3070,13189,1774,2019,2019
1104071,왕십리도선동,서울특별시,성동구,4169,17872,5229,9902,2063,2019,2019
