철도역명,구분,노선_열차종류,행정동코드_500m,행정동코드_1000m,대표ID
4.19민주묘지역,지하철,우이신설선,"[11090640, 11090740, 11100510]","[11090640, 11090740, 11090750, 11100510, 11100570]",ST000003
가능역,지하철,1호선,"[31030520, 31030600, 31030680, 31030690]","[31030520, 31030600, 31030640, 31030670, 31030680, 31030690]",ST000467
가락시장역,지하철,3호선,"[11240650, 11240660, 11240680, 11240690]","[11230750, 11240620, 11240650, 11240660, 11240670, 11240680, 11240690]",ST000178
가락시장역,지하철,8호선,"[11240650, 11240660, 11240680, 11240690]","[11230750, 11240620, 11240650, 11240660, 11240670, 11240680, 11240690]",ST000178
가산디지털단지역,지하철,1호선,"[11170700, 11180510]","[11170520, 11170540, 11170550, 11170700, 11170710, 11180510, 31060580, 31060590, 31060600]",ST000305
가산디지털단지역,지하철,7호선,"[11170700, 11180510]","[11170520, 11170540, 11170550, 11170700, 11170710, 11180510, 31060580, 31060590, 31060600]",ST000305
가양역,지하철,9호선,"[11160520, 11160540, 11160650, 11160660]","[11140740, 11160510, 11160520, 11160530, 11160540, 11160610, 11160650, 11160660, 11160740, 11160751]",ST000020
가오리역,지하철,우이신설선,"[11090640, 11090650, 11090740, 11090750]","[11090600, 11090630, 11090640, 11090650, 11090700, 11090740, 11090750, 11100510, 11100530]",ST000004
가재울역,지하철,인천2호선,"[23080630, 23080640, 23080650]","[23060700, 23080620, 23080630, 23080640, 23080650]",ST000082
가정역,지하철,인천2호선,"[23080541, 23080550, 23080730]","[23080541, 23080550, 23080560, 23080730]",ST000430
가정중앙시장역,지하철,인천2호선,"[23080541, 23080550, 23080560, 23080580, 23080600, 23080730]","[23060610, 23080541, 23080550, 23080560, 23080580, 23080600, 23080730]",ST000078
가좌역,지하철,경의중앙선,"[11130690, 11130710, 11130760, 11140710, 11140720, 11140730]","[11130690, 11130700, 11130710, 11130720, 11130760, 11140710, 11140720, 11140730]",ST000625
가천대역,지하철,수인분당선,"[31021540, 31021560, 31021670]","[31021540, 31021550, 31021560, 31021570, 31021580, 31021590, 31021640, 31021670]",ST000505
가평역,지하철,경춘선,[31570110],[31570110],ST000595
간석역,지하철,1호선,"[23050580, 23060710, 23090690, 23090700]","[23050550, 23050580, 23060700, 23060710, 23090650, 23090680, 23090690, 23090700]",ST000512
간석오거리역,지하철,인천1호선,"[23050550, 23050561, 23050570, 23050580, 23060710]","[23050521, 23050550, 23050561, 23050570, 23050580, 23060710]",ST000054
갈매역,지하철,경춘선,"[11110560, 31120510]","[11110560, 31120510, 31130570]",ST000605
갈산역,지하철,인천1호선,"[23060620, 23060630, 23060640]","[23060620, 23060630, 23060640, 23060650, 23060720, 23070520, 23070560, 23070570]",ST000050
강남구청역,지하철,7호선,"[11230530, 11230590, 11230780]","[11230520, 11230530, 11230580, 11230590, 11230640, 11230770, 11230780]",ST000292
강남구청역,지하철,수인분당선,"[11230530, 11230590, 11230780]","[11230520, 11230530, 11230580, 11230590, 11230640, 11230770, 11230780]",ST000292
강남대역,지하철,에버라인,"[31192520, 31192650, 31192660]","[31192520, 31192600, 31192650, 31192660]",ST000399
강남역,지하철,2호선,"[11220520, 11220540, 11230640]","[11220510, 11220520, 11220540, 11220570, 11230520, 11230640, 11230650]",ST000123
강남역,지하철,신분당선,"[11220520, 11220540, 11230640]","[11220510, 11220520, 11220540, 11220570, 11230520, 11230640, 11230650]",ST000123
강동구청역,지하철,8호선,"[11240510, 11240520, 11240590, 11250650, 11250660]","[11240510, 11240520, 11240590, 11240750, 11250630, 11250650, 11250660, 11250670, 11250730]",ST000311
