철도역명,구분,노선_열차종류,행정동코드_500m,행정동명_500m,행정동코드_1000m,행정동명_1000m,행정동코드명_500m,행정동코드명_1000m,대표ID
4.19민주묘지역,지하철,우이신설선,"[1130562000, 1130564500, 1132066000]","[서울특별시 강북구 수유2동, 서울특별시 강북구 우이동, 서울특별시 도봉구 쌍문1동]","[1130562000, 1130564500, 1130566000, 1132066000, 1132071000]","[서울특별시 강북구 수유2동, 서울특별시 강북구 우이동, 서울특별시 강북구 인수동, 서울특별시 도봉구 방학3동, 서울특별시 도봉구 쌍문1동]","[1130562000:서울특별시 강북구 수유2동, 1130564500:서울특별시 강북구 우이동, 1132066000:서울특별시 도봉구 쌍문1동]","[1130562000:서울특별시 강북구 수유2동, 1130564500:서울특별시 강북구 우이동, 1130566000:서울특별시 강북구 인수동, 1132066000:서울특별시 도봉구 쌍문1동, 1132071000:서울특별시 도봉구 방학3동]",ST000003
가능역,지하철,1호선,"[4115051000, 4115052000, 4115058000, 4115059000]","[경기도 의정부시 가능1동, 경기도 의정부시 의정부1동, 경기도 의정부시 의정부2동, 경기도 의정부시 자금동]","[4115051000, 4115052000, 4115058000, 4115059000, 4115060000, 4115062000]","[경기도 의정부시 가능1동, 경기도 의정부시 가능2동, 경기도 의정부시 녹양동, 경기도 의정부시 의정부1동, 경기도 의정부시 의정부2동, 경기도 의정부시 자금동]","[4115051000:경기도 의정부시 의정부1동, 4115052000:경기도 의정부시 의정부2동, 4115058000:경기도 의정부시 자금동, 4115059000:경기도 의정부시 가능1동]","[4115051000:경기도 의정부시 의정부1동, 4115052000:경기도 의정부시 의정부2동, 4115058000:경기도 의정부시 자금동, 4115059000:경기도 의정부시 가능1동, 4115060000:경기도 의정부시 가능2동, 4115062000:경기도 의정부시 녹양동]",ST000467
가락시장역,지하철,3호선,"[1171062000, 1171063100, 1171064100, 1171064200]","[서울특별시 송파구 가락1동, 서울특별시 송파구 가락본동, 서울특별시 송파구 문정1동, 서울특별시 송파구 문정2동]","[1168075000, 1171059000, 1171062000, 1171063100, 1171063200, 1171064100, 1171064200]","[서울특별시 강남구 수서동, 서울특별시 송파구 가락1동, 서울특별시 송파구 가락2동, 서울특별시 송파구 가락본동, 서울특별시 송파구 문정1동, 서울특별시 송파구 문정2동, 서울특별시 송파구 송파2동]","[1171062000:서울특별시 송파구 가락본동, 1171063100:서울특별시 송파구 가락1동, 1171064100:서울특별시 송파구 문정1동, 1171064200:서울특별시 송파구 문정2동]","[1168075000:서울특별시 강남구 수서동, 1171059000:서울특별시 송파구 송파2동, 1171062000:서울특별시 송파구 가락본동, 1171063100:서울특별시 송파구 가락1동, 1171063200:서울특별시 송파구 가락2동, 1171064100:서울특별시 송파구 문정1동, 1171064200:서울특별시 송파구 문정2동]",ST000178
가락시장역,지하철,8호선,"[1171062000, 1171063100, 1171064100, 1171064200]","[서울특별시 송파구 가락1동, 서울특별시 송파구 가락본동, 서울특별시 송파구 문정1동, 서울특별시 송파구 문정2동]","[1168075000, 1171059000, 1171062000, 1171063100, 1171063200, 1171064100, 1171064200]","[서울특별시 강남구 수서동, 서울특별시 송파구 가락1동, 서울특별시 송파구 가락2동, 서울특별시 송파구 가락본동, 서울특별시 송파구 문정1동, 서울특별시 송파구 문정2동, 서울특별시 송파구 송파2동]","[1171062000:서울특별시 송파구 가락본동, 1171063100:서울특별시 송파구 가락1동, 1171064100:서울특별시 송파구 문정1동, 1171064200:서울특별시 송파구 문정2동]","[1168075000:서울특별시 강남구 수서동, 1171059000:서울특별시 송파구 송파2동, 1171062000:서울특별시 송파구 가락본동, 1171063100:서울특별시 송파구 가락1동, 1171063200:서울특별시 송파구 가락2동, 1171064100:서울특별시 송파구 문정1동, 1171064200:서울특별시 송파구 문정2동]",ST000178
가산디지털단지역,지하철,1호선,"[1153059500, 1154551000]","[서울특별시 구로구 가리봉동, 서울특별시 금천구 가산동]","[1153052000, 1153053000, 1153054000, 1153055000, 1153059500, 1154551000, 4121059000, 4121060000, 4121061000, 4121063400]","[경기도 광명시 철산1동, 경기도 광명시 철산2동, 경기도 광명시 철산3동, 경기도 광명시 하안4동, 서울특별시 구로구 가리봉동, 서울특별시 구로구 구로1동, 서울특별시 구로구 구로2동, 서울특별시 구로구 구로3동, 서울특별시 구로구 구로4동, 서울특별시 금천구 가산동]","[1153059500:서울특별시 구로구 가리봉동, 1154551000:서울특별시 금천구 가산동]","[1153052000:서울특별시 구로구 구로1동, 1153053000:서울특별시 구로구 구로2동, 1153054000:서울특별시 구로구 구로3동, 1153055000:서울특별시 구로구 구로4동, 1153059500:서울특별시 구로구 가리봉동, 1154551000:서울특별시 금천구 가산동, 4121059000:경기도 광명시 철산1동, 4121060000:경기도 광명시 철산2동, 4121061000:경기도 광명시 철산3동, 4121063400:경기도 광명시 하안4동]",ST000305
가산디지털단지역,지하철,7호선,"[1153059500, 1154551000]","[서울특별시 구로구 가리봉동, 서울특별시 금천구 가산동]","[1153052000, 1153053000, 1153054000, 1153055000, 1153059500, 1154551000, 4121059000, 4121060000, 4121061000, 4121063400]","[경기도 광명시 철산1동, 경기도 광명시 철산2동, 경기도 광명시 철산3동, 경기도 광명시 하안4동, 서울특별시 구로구 가리봉동, 서울특별시 구로구 구로1동, 서울특별시 구로구 구로2동, 서울특별시 구로구 구로3동, 서울특별시 구로구 구로4동, 서울특별시 금천구 가산동]","[1153059500:서울특별시 구로구 가리봉동, 1154551000:서울특별시 금천구 가산동]","[1153052000:서울특별시 구로구 구로1동, 1153053000:서울특별시 구로구 구로2동, 1153054000:서울특별시 구로구 구로3동, 1153055000:서울특별시 구로구 구로4동, 1153059500:서울특별시 구로구 가리봉동, 1154551000:서울특별시 금천구 가산동, 4121059000:경기도 광명시 철산1동, 4121060000:경기도 광명시 철산2동, 4121061000:경기도 광명시 철산3동, 4121063400:경기도 광명시 하안4동]",ST000305
가양역,지하철,9호선,"[1150052000, 1150053500, 1150060400, 1150060500]","[서울특별시 강서구 가양2동, 서울특별시 강서구 가양3동, 서울특별시 강서구 등촌1동, 서울특별시 강서구 등촌3동]","[1144074000, 1150051000, 1150052000, 1150053000, 1150053500, 1150059100, 1150060300, 1150060400, 1150060500, 1150061500]","[서울특별시 강서구 가양1동, 서울특별시 강서구 가양2동, 서울특별시 강서구 가양3동, 서울특별시 강서구 등촌1동, 서울특별시 강서구 등촌2동, 서울특별시 강서구 등촌3동, 서울특별시 강서구 염창동, 서울특별시 강서구 우장산동, 서울특별시 강서구 화곡6동, 서울특별시 마포구 상암동]","[1150052000:서울특별시 강서구 등촌1동, 1150053500:서울특별시 강서구 등촌3동, 1150060400:서울특별시 강서구 가양2동, 1150060500:서울특별시 강서구 가양3동]","[1144074000:서울특별시 마포구 상암동, 1150051000:서울특별시 강서구 염창동, 1150052000:서울특별시 강서구 등촌1동, 1150053000:서울특별시 강서구 등촌2동, 1150053500:서울특별시 강서구 등촌3동, 1150059100:서울특별시 강서구 화곡6동, 1150060300:서울특별시 강서구 가양1동, 1150060400:서울특별시 강서구 가양2동, 1150060500:서울특별시 강서구 가양3동, 1150061500:서울특별시 강서구 우장산동]",ST000020
가오리역,지하철,우이신설선,"[1130562000, 1130563000, 1130564500, 1130566000]","[서울특별시 강북구 수유2동, 서울특별시 강북구 수유3동, 서울특별시 강북구 우이동, 서울특별시 강북구 인수동]","[1130553500, 1130559000, 1130561000, 1130562000, 1130563000, 1130564500, 1130566000, 1132066000, 1132068000]","[서울특별시 강북구 미아동, 서울특별시 강북구 번1동, 서울특별시 강북구 수유1동, 서울특별시 강북구 수유2동, 서울특별시 강북구 수유3동, 서울특별시 강북구 우이동, 서울특별시 강북구 인수동, 서울특별시 도봉구 쌍문1동, 서울특별시 도봉구 쌍문3동]","[1130562000:서울특별시 강북구 수유2동, 1130563000:서울특별시 강북구 수유3동, 1130564500:서울특별시 강북구 우이동, 1130566000:서울특별시 강북구 인수동]","[1130553500:서울특별시 강북구 미아동, 1130559000:서울특별시 강북구 번1동, 1130561000:서울특별시 강북구 수유1동, 1130562000:서울특별시 강북구 수유2동, 1130563000:서울특별시 강북구 수유3동, 1130564500:서울특별시 강북구 우이동, 1130566000:서울특별시 강북구 인수동, 1132066000:서울특별시 도봉구 쌍문1동, 1132068000:서울특별시 도봉구 쌍문3동]",ST000004
가재울역,지하철,인천2호선,"[2826059000, 2826060000, 2826061000]","[인천광역시 서구 가좌2동, 인천광역시 서구 가좌3동, 인천광역시 서구 가좌4동]","[2823768000, 2826058000, 2826059000, 2826060000, 2826061000]","[인천광역시 부평구 십정1동, 인천광역시 서구 가좌1동, 인천광역시 서구 가좌2동, 인천광역시 서구 가좌3동, 인천광역시 서구 가좌4동]","[2826059000:인천광역시 서구 가좌2동, 2826060000:인천광역시 서구 가좌3동, 2826061000:인천광역시 서구 가좌4동]","[2823768000:인천광역시 부평구 십정1동, 2826058000:인천광역시 서구 가좌1동, 2826059000:인천광역시 서구 가좌2동, 2826060000:인천광역시 서구 가좌3동, 2826061000:인천광역시 서구 가좌4동]",ST000082
가정역,지하철,인천2호선,"[2826054200, 2826054300, 2826057500]","[인천광역시 서구 가정1동, 인천광역시 서구 가정2동, 인천광역시 서구 신현원창동]","[2826053600, 2826054200, 2826054300, 2826054400, 2826057500]","[인천광역시 서구 가정1동, 인천광역시 서구 가정2동, 인천광역시 서구 가정3동, 인천광역시 서구 신현원창동, 인천광역시 서구 청라1동]","[2826054200:인천광역시 서구 가정1동, 2826054300:인천광역시 서구 가정2동, 2826057500:인천광역시 서구 신현원창동]","[2826053600:인천광역시 서구 청라1동, 2826054200:인천광역시 서구 가정1동, 2826054300:인천광역시 서구 가정2동, 2826054400:인천광역시 서구 가정3동, 2826057500:인천광역시 서구 신현원창동]",ST000430
