시도,시군구,이전_행정동코드,이전_행정동명,이후_행정동코드,이후_행정동명,변경관계,검토결과,이전코드_검토,원문
서울,강남구,11230740,일원2동,11230511,개포3동,1:1 명칭/코드 변경,확인,확인,일원2동->개포3동
인천,중구,23010660,영종1동,23010681,영종1동,"1:N 분동/분리, OD기준 합산대상",확인,확인,"영종1동->영종1동, 영종2동"
인천,중구,23010660,영종1동,23010691,영종2동,"1:N 분동/분리, OD기준 합산대상",확인,확인,"영종1동->영종1동, 영종2동"
경기,의정부시,31030590,송산1동,31030591,송산1동,"1:N 분동/분리, OD기준 합산대상",확인,확인,"송산1동 -> 송산1동, 고산동"
경기,의정부시,31030590,송산1동,31030721,고산동,"1:N 분동/분리, OD기준 합산대상",확인,확인,"송산1동 -> 송산1동, 고산동"
경기,안양시 만안구,31041620,석수3동,31041651,충훈동,1:1 명칭/코드 변경,확인,확인,석수3동 -> 충훈동
경기,안양시 동안구,31042560,관양1동,31042681,관양동,1:1 명칭/코드 변경,확인,확인,관양1동 -> 관양동
경기,안양시 동안구,31042570,관양2동,31042691,인덕원동,1:1 명칭/코드 변경,확인,확인,관양2동 -> 인덕원동
경기,부천시 원미구,31050870,심곡동,31051511,심곡1동,"1:N 분동/분리, OD기준 합산대상",확인,확인,"심곡동 -> 심곡1동, 심곡2동, 심곡3동, 원미2동, 소사동"
경기,부천시 원미구,31050870,심곡동,31051521,심곡2동,"1:N 분동/분리, OD기준 합산대상",확인,확인,"심곡동 -> 심곡1동, 심곡2동, 심곡3동, 원미2동, 소사동"
경기,부천시 원미구,31050870,심곡동,31051531,심곡3동,"1:N 분동/분리, OD기준 합산대상",확인,확인,"심곡동 -> 심곡1동, 심곡2동, 심곡3동, 원미2동, 소사동"
경기,부천시 원미구,31050870,심곡동,31051541,원미2동,"1:N 분동/분리, OD기준 합산대상",확인,확인,"심곡동 -> 심곡1동, 심곡2동, 심곡3동, 원미2동, 소사동"
경기,부천시 원미구,31050870,심곡동,31051551,소사동,"1:N 분동/분리, OD기준 합산대상",확인,확인,"심곡동 -> 심곡1동, 심곡2동, 심곡3동, 원미2동, 소사동"
경기,부천시 원미구,31050880,부천동,31051561,원미1동,"1:N 분동/분리, OD기준 합산대상",확인,확인,"부천동 -> 원미1동, 역곡1동, 역곡2동, 춘의동, 도당동"
경기,부천시 원미구,31050880,부천동,31051571,역곡1동,"1:N 분동/분리, OD기준 합산대상",확인,확인,"부천동 -> 원미1동, 역곡1동, 역곡2동, 춘의동, 도당동"
경기,부천시 원미구,31050880,부천동,31051581,역곡2동,"1:N 분동/분리, OD기준 합산대상",확인,확인,"부천동 -> 원미1동, 역곡1동, 역곡2동, 춘의동, 도당동"
경기,부천시 원미구,31050880,부천동,31051591,춘의동,"1:N 분동/분리, OD기준 합산대상",확인,확인,"부천동 -> 원미1동, 역곡1동, 역곡2동, 춘의동, 도당동"
