시도,시군구명칭,읍면동명칭,행정구역코드,아파트수,전체주택수,아파트비율_퍼센트
서울,종로구,사직동,11010530,1460,3367,43.36
서울,종로구,삼청동,11010540,0,790,0.0
서울,종로구,부암동,11010550,121,3103,3.9
서울,종로구,평창동,11010560,876,5563,15.75
서울,종로구,무악동,11010570,2679,2838,94.4
서울,종로구,교남동,11010580,2418,3791,63.78
서울,종로구,가회동,11010600,0,1441,0.0
서울,종로구,종로1·2·3·4가동,11010610,951,2867,33.17
서울,종로구,종로5·6가동,11010630,164,1641,9.99
서울,종로구,이화동,11010640,189,2715,6.96
서울,종로구,창신1동,11010670,811,1632,49.69
서울,종로구,창신2동,11010680,330,2419,13.64
서울,종로구,창신3동,11010690,1731,2147,80.62
서울,종로구,숭인1동,11010700,654,1788,36.58
서울,종로구,숭인2동,11010710,1177,4054,29.03
서울,종로구,청운효자동,11010720,228,3853,5.92
서울,종로구,혜화동,11010730,890,5151,17.28
서울,중구,소공동,11020520,579,958,60.44
서울,중구,회현동,11020540,1149,1712,67.11
서울,중구,명동,11020550,249,763,32.63
서울,중구,필동,11020570,397,1348,29.45
서울,중구,장충동,11020580,201,2212,9.09
서울,중구,광희동,11020590,938,2192,42.79
서울,중구,을지로동,11020600,234,855,27.37
서울,중구,신당5동,11020650,2182,3462,63.03
서울,중구,황학동,11020670,2643,5195,50.88
서울,중구,중림동,11020680,3356,4590,73.12
서울,중구,신당동,11020690,636,2713,23.44
서울,중구,다산동,11020700,471,4563,10.32
서울,중구,약수동,11020710,5228,6468,80.83
서울,중구,청구동,11020720,3718,4880,76.19
서울,중구,동화동,11020730,2547,3127,81.45
서울,용산구,후암동,11030510,586,5237,11.19
서울,용산구,용산2가동,11030520,293,3023,9.69
서울,용산구,남영동,11030530,439,2657,16.52
서울,용산구,원효로2동,11030570,3082,4502,68.46
서울,용산구,효창동,11030580,1508,3263,46.22
서울,용산구,용문동,11030590,2209,4074,54.22
서울,용산구,이촌1동,11030630,9063,9111,99.47
서울,용산구,이촌2동,11030640,2710,3223,84.08
서울,용산구,이태원1동,11030650,638,1981,32.21
서울,용산구,이태원2동,11030660,634,2742,23.12
서울,용산구,서빙고동,11030690,2430,3948,61.55
서울,용산구,보광동,11030700,541,3463,15.62
서울,용산구,청파동,11030710,74,6137,1.21
서울,용산구,원효로1동,11030720,3232,5948,54.34
서울,용산구,한강로동,11030730,3587,7757,46.24
서울,용산구,한남동,11030740,2784,6947,40.07
서울,성동구,왕십리2동,11040520,4106,5275,77.84
서울,성동구,마장동,11040540,4168,6903,60.38
서울,성동구,사근동,11040550,1286,3303,38.93
서울,성동구,행당1동,11040560,3316,4995,66.39
서울,성동구,행당2동,11040570,7934,8289,95.72
서울,성동구,응봉동,11040580,3826,5206,73.49
서울,성동구,금호1가동,11040590,4908,5834,84.13
서울,성동구,금호4가동,11040620,4300,5114,84.08
서울,성동구,성수1가1동,11040650,3251,5138,63.27
서울,성동구,성수1가2동,11040660,2290,4405,51.99
서울,성동구,성수2가1동,11040670,1910,4416,43.25
서울,성동구,성수2가3동,11040680,1909,3769,50.65
서울,성동구,송정동,11040690,790,2441,32.36
