dong_code,dong_name,station_count_준고속철도,행정동전체면적_m2,상업업무지역비율_pct,공공시설지역비율_pct,주거지역비율_pct,station_count_고속철도,worker_count,business_count,아파트비율_퍼센트,station_count_지하철,station_count_일반철도,worker_density,business_density,station_density_지하철,기타지역비율_pct,pop_0_19,pop_20_59,pop_60_plus
50000001,교산1동,0,1115330.71,24.60690847,18.62536952,29.78217464,0,0,0,88.445703,2,0,0,0,1.793190111298917e-06,26.985547,2842,9816,5525
50000002,교산2동,0,1520913.629,24.27264399,24.52792118,22.56102898,0,0,0,49.660962,2,0,0,0,1.3149990649469025e-06,28.638406,2218,11850,8105
50000003,교산3동,0,2371767.532,6.85689557,44.62062967,21.10036334,0,0,0,89.350235,2,0,0,0,8.432529634611762e-07,27.422111,3838,13393,6592
50000004,교산4동,0,1298550.453,4.167829346,29.75082891,39.70652963,0,0,0,86.981132,0,0,0,0,0.0,26.374812,3875,12343,5410
50000005,왕숙1동,0,2835645.316,6.672097113,22.79451815,33.78015767,0,0,0,87.468799,1,0,0,0,3.5265341344262815e-07,36.753227,9115,29900,13671
50000006,왕숙2동,0,2798565.831,4.350320088,35.43657401,39.70307257,0,0,0,85.953886,1,0,0,0,3.5732588060745176e-07,20.510033,11500,35056,15767
50000007,왕숙3동,0,5906782.137,25.57284233,27.11907316,16.83586644,0,0,0,53.509767,4,0,0,0,6.771876644889366e-07,30.472218,3356,22285,12771
50000008,왕숙4동,0,453291.762,49.78783294,27.38999534,0.0,0,0,0,0.0,0,0,0,0,0.0,22.822172,0,0,0
50000009,왕숙2지구,0,2391501.004,6.614916916,29.53093008,26.71161217,0,0,0,73.84519,3,0,0,0,1.2544422916746556e-06,37.142541,5917,22559,11421
50000010,창릉1동,0,954548.074,3.875592954,27.1552478,44.10208669,0,0,0,87.584089,0,0,0,0,0.0,24.867073,2788,9244,4376
50000011,창릉2동,0,2336971.824,14.46888315,32.09391292,26.64087592,0,0,0,100.0,0,0,0,0,0.0,26.796328,3425,11474,6335
50000012,창릉3동,0,1944177.145,10.35345849,19.52584515,18.6871537,0,0,0,40.583781,2,0,0,0,1.0287128439625804e-06,51.433543,2212,10424,7015
50000013,창릉4동,0,3982121.39,9.377147753,55.02039597,19.87966828,0,0,0,71.174429,3,0,0,0,7.53367289991127e-07,15.722788,4331,18696,10158
50000014,창릉5동,0,233200.359,43.27661304,25.81469962,6.932275926,0,0,0,0.0,0,0,0,0,0.0,23.976411,0,0,0
