dong_code,dong_name,행정동전체면적_m2,주거지역비율_pct,상업업무지역비율_pct,공공시설지역비율_pct,아파트비율_퍼센트,계획인구수,기타지역비율_pct,worker_count,business_count,worker_density,business_density,station_count_일반철도,station_count_지하철,station_count_준고속철도,station_count_고속철도,station_density_지하철,기타지역비율_pct.1,planned_station_count_지하철,planned_station_density_지하철,planned_station_min_open_year,planned_station_names,planned_station_opening_info,Unnamed: 24,Unnamed: 25,pop_0_19,pop_20_59,pop_60_plus
50000001,교산1동,1115330.71,29.78217464,24.60690847,18.62536952,88.445703,18183,26.985547,0,0,0,0,0,1,0,0,8.97e-07,26.985547,1,8.97e-07,2032.0,교산 104정거장,교산 104정거장: 송파하남선 3호선 2032,,,2850.0,9846.0,5487.0
50000002,교산2동,1520913.629,22.56102898,24.27264399,24.52792118,49.660962,22173,28.638406,0,0,0,0,0,0,0,0,0.0,28.638406,2,1.31e-06,2032.0,교산 103정거장; 교산 104정거장,교산 103정거장: 송파하남선 3호선 2032; 교산 104정거장: 송파하남선 3호선 2032,,,2269.0,11850.0,8054.0
50000003,교산3동,2371767.532,21.10036334,6.85689557,44.62062967,89.350235,23823,27.422111,0,0,0,0,0,0,0,0,0.0,27.422111,2,8.43e-07,2032.0,교산 102정거장; 교산 103정거장,교산 102정거장: 송파하남선 3호선 2032; 교산 103정거장: 송파하남선 3호선 2032,,,3988.0,13453.0,6382.0
50000004,교산4동,1298550.453,39.70652963,4.167829346,29.75082891,86.981132,21628,26.374812,0,0,0,0,0,0,0,0,0.0,26.374812,0,0.0,,,,,,3875.0,12343.0,5410.0
50000005,왕숙1동,2835645.316,33.78015767,6.672097113,22.79451815,87.468799,52686,36.753227,0,0,0,0,0,0,0,0,0.0,36.753227,1,3.53e-07,2033.0,949정거장,949정거장: 9호선 2033,,,9115.0,30038.0,13533.0
50000006,왕숙2동,2798565.831,39.70307257,4.350320088,35.43657401,85.953886,62323,20.510033,0,0,0,0,0,0,0,0,0.0,20.510033,1,3.57e-07,2033.0,948정거장,948정거장: 9호선 2033,,,11581.0,35165.0,15577.0
50000007,왕숙3동,5906782.137,16.83586644,25.57284233,27.11907316,53.509767,38412,30.472218,0,0,0,0,0,1,0,0,1.69e-07,30.472218,3,5.08e-07,2029.0,왕숙역,왕숙역: 9호선; GTX-B; 경춘선 9호선 2033; GTX-B 2031; 경춘선 2029,,,3697.0,21470.0,13245.0
50000008,왕숙4동,453291.762,0.0,49.78783294,27.38999534,0.0,0,22.822172,0,0,0,0,0,0,0,0,0.0,22.822172,0,0.0,,,,,,0.0,0.0,0.0
50000009,왕숙2지구,2391501.004,26.71161217,6.614916916,29.53093008,73.84519,39897,37.142541,0,0,0,0,0,1,0,0,4.18e-07,37.142541,2,8.36e-07,2028.0,일패역,일패역: 9호선; 경의중앙선 9호선 2033; 경의중앙선 2028,,,6366.0,22364.0,11167.0
50000010,창릉1동,954548.074,44.10208669,3.875592954,27.1552478,87.584089,16408,24.867073,0,0,0,0,0,0,0,0,0.0,24.867073,0,0.0,,,,,,2788.0,9244.0,4376.0
50000011,창릉2동,2336971.824,26.64087592,14.46888315,32.09391292,100.0,21234,26.796328,0,0,0,0,0,0,0,0,0.0,26.796328,0,0.0,,,,,,3425.0,11474.0,6335.0
50000012,창릉3동,1944177.145,18.6871537,10.35345849,19.52584515,40.583781,19651,51.433543,0,0,0,0,0,0,0,0,0.0,51.433543,2,9.59e-07,2030.0,창릉역,창릉역: GTX-A; 고양은평선 GTX-A 2030; 고양은평선 2032,,,2308.0,10428.0,6915.0
50000013,창릉4동,3982121.39,19.87966828,9.377147753,55.02039597,71.174429,33185,15.722788,0,0,0,0,0,1,0,0,3.3e-07,15.722788,2,6.6e-07,2030.0,창릉역,창릉역: GTX-A; 고양은평선 GTX-A 2030; 고양은평선 2032,,,4479.0,18662.0,10044.0
50000014,창릉5동,233200.359,6.932275926,43.27661304,25.81469962,0.0,0,23.976411,0,0,0,0,0,0,0,0,0.0,23.976411,0,0.0,,,,,,,,
