출발행정동코드,출발행정동,도착행정동코드,도착행정동,구분,예측통행량,실제통행량,절대오차
31240650,동탄5동,31192540,기흥동,테스트구역에서 나감,8367.692451215955,4191.3427734375,4176.349677778455
31240610,동탄1동,31240620,동탄3동,테스트구역 내부/상호,7542.3357245092375,2830.77099609375,4711.5647284154875
31240620,동탄3동,31240610,동탄1동,테스트구역 내부/상호,6456.96501005833,2746.156982421875,3710.8080276364553
23080850,당하동,23080860,마전동,테스트구역 내부/상호,5702.491561127685,172.22000122070312,5530.271559906982
31192540,기흥동,31240650,동탄5동,테스트구역으로 들어옴,5557.283282525579,1805.7750244140625,3751.5082581115166
31240610,동탄1동,31240550,반월동,테스트구역에서 나감,5252.969624812509,8107.55712890625,2854.587504093741
31240690,동탄7동,31240650,동탄5동,테스트구역 내부/상호,5183.595745564204,1308.5360107421875,3875.0597348220163
31240620,동탄3동,31240540,병점2동,테스트구역에서 나감,5172.223901772937,6844.43017578125,1672.206274008313
23080860,마전동,23080850,당하동,테스트구역 내부/상호,5130.080311442979,156.14500427246094,4973.935307170518
31240610,동탄1동,31240600,동탄2동,테스트구역 내부/상호,5017.744600713118,12385.40234375,7367.657743036882
31240640,동탄4동,31240650,동탄5동,테스트구역 내부/상호,4575.710542690784,5229.55615234375,653.8456096529662
31240700,동탄6동,31240600,동탄2동,테스트구역 내부/상호,4521.568831177695,14543.755859375,10022.187028197306
31140540,신장동,31240700,동탄6동,테스트구역으로 들어옴,4517.813396925587,3779.360107421875,738.4532895037119
31240550,반월동,31240610,동탄1동,테스트구역으로 들어옴,4314.634267978619,9292.2529296875,4977.618661708881
31240600,동탄2동,31240700,동탄6동,테스트구역 내부/상호,4242.921333012928,8261.2587890625,4018.337456049572
31240610,동탄1동,31192550,서농동,테스트구역에서 나감,4177.397616809009,1962.64501953125,2214.7525972777594
31240650,동탄5동,31240640,동탄4동,테스트구역 내부/상호,3964.5026968877532,6797.56689453125,2833.0641976434968
31240540,병점2동,31240620,동탄3동,테스트구역으로 들어옴,3876.71118640678,4260.55908203125,383.84789562446986
31021680,위례동,31021670,복정동,테스트구역에서 나감,3853.3043489391275,3331.303955078125,522.0003938610025
31240700,동탄6동,31140540,신장동,테스트구역에서 나감,3826.6750955194734,4923.27490234375,1096.5998068242766
31192550,서농동,31240610,동탄1동,테스트구역으로 들어옴,3798.4023546219464,3444.910888671875,353.4914659500714
31021670,복정동,31021680,위례동,테스트구역으로 들어옴,3745.36391350036,3842.387939453125,97.02402595276499
31240650,동탄5동,31240690,동탄7동,테스트구역 내부/상호,3720.764346556502,1195.991943359375,2524.772403197127
31021680,위례동,11240690,문정2동,테스트구역에서 나감,3598.83345447325,1227.5,2371.33345447325
11240810,장지동,11240820,위례동,테스트구역으로 들어옴,3570.9067563434724,3209.283935546875,361.62282079659735
11240820,위례동,11240810,장지동,테스트구역에서 나감,3515.073971518306,4606.73583984375,1091.6618683254442
31240610,동탄1동,31240700,동탄6동,테스트구역 내부/상호,3322.844077577687,3687.305908203125,364.46183062543787
23080880,아라동,23080870,원당동,테스트구역 내부/상호,3301.5090262376384,640.9140014648438,2660.5950247727947
31240600,동탄2동,31240610,동탄1동,테스트구역 내부/상호,3250.440248758994,12161.7802734375,8911.340024678506
31021680,위례동,11240820,위례동,테스트구역 내부/상호,3239.7856365569764,4818.68310546875,1578.8974689117736
11240690,문정2동,31021680,위례동,테스트구역으로 들어옴,3233.504599179394,1129.5880126953125,2103.9165864840816
31021680,위례동,31180650,위례동,테스트구역 내부/상호,3190.646410608429,9900.517578125,6709.8711675165705
31021680,위례동,31021520,신흥2동,테스트구역에서 나감,3122.0990374083894,3726.22802734375,604.1289899353606
23080850,당하동,23080510,검암경서동,테스트구역에서 나감,3088.055013465987,5049.39599609375,1961.340982627763
23080880,아라동,31230540,풍무동,테스트구역에서 나감,3084.872569280853,177.64300537109375,2907.2295639097592
23080800,검단동,23080840,오류왕길동,테스트구역에서 나감,3076.848141099757,10218.5126953125,7141.664554212743
31240690,동탄7동,31240700,동탄6동,테스트구역 내부/상호,3068.6757964566673,1333.98095703125,1734.6948394254173
31240650,동탄5동,31240610,동탄1동,테스트구역 내부/상호,2952.741730380765,4219.06689453125,1266.3251641504849
23080800,검단동,23080810,불로대곡동,테스트구역 내부/상호,2919.754019037126,2257.410888671875,662.343130365251
23080840,오류왕길동,23080800,검단동,테스트구역으로 들어옴,2896.4861579823246,7644.06298828125,4747.576830298925
11240690,문정2동,11240820,위례동,테스트구역으로 들어옴,2885.795058196137,2332.175048828125,553.6200093680118
31240650,동탄5동,31240700,동탄6동,테스트구역 내부/상호,2814.1492289031185,11801.9326171875,8987.78338828438
31240610,동탄1동,31240650,동탄5동,테스트구역 내부/상호,2798.625877319017,2298.614990234375,500.01088708464204
23080510,검암경서동,23080850,당하동,테스트구역으로 들어옴,2766.968649929057,5322.34912109375,2555.380471164693
11240820,위례동,31021680,위례동,테스트구역 내부/상호,2732.020774351562,5756.98681640625,3024.966042054688
11240820,위례동,11240690,문정2동,테스트구역에서 나감,2708.4540568612524,2489.069091796875,219.3849650643774
31140540,신장동,31240600,동탄2동,테스트구역으로 들어옴,2685.882762139889,1707.2540283203125,978.6287338195766
23080810,불로대곡동,23080800,검단동,테스트구역 내부/상호,2674.2587164644706,1985.8489990234375,688.4097174410331
31240520,진안동,31240620,동탄3동,테스트구역으로 들어옴,2491.0492468709886,3919.550048828125,1428.5008019571364
31240610,동탄1동,31140540,신장동,테스트구역에서 나감,2484.8317168564495,716.7249755859375,1768.106741270512
23080860,마전동,23080800,검단동,테스트구역 내부/상호,2478.2911262958924,909.3159790039062,1568.975147291986
23080800,검단동,23080860,마전동,테스트구역 내부/상호,2475.6211248127643,571.156005859375,1904.4651189533893
31230560,장기동,23080810,불로대곡동,테스트구역으로 들어옴,2470.495525617114,2645.8349609375,175.3394353203862
31140510,중앙동,31240700,동탄6동,테스트구역으로 들어옴,2432.9445191447267,5372.43994140625,2939.4954222615233
31140520,대원동,31240700,동탄6동,테스트구역으로 들어옴,2432.2411192635923,3629.60400390625,1197.3628846426577
31240610,동탄1동,31240520,진안동,테스트구역에서 나감,2412.1593233431495,1539.7760009765625,872.383322366587
31230540,풍무동,23080880,아라동,테스트구역으로 들어옴,2394.84260154607,215.61000061035156,2179.2326009357184
31021680,위례동,31021600,단대동,테스트구역에서 나감,2382.065745313833,2307.638916015625,74.42682929820785
31240620,동탄3동,31240520,진안동,테스트구역에서 나감,2367.9821714372774,3368.5830078125,1000.6008363752226
31240700,동탄6동,31140520,대원동,테스트구역에서 나감,2321.139359410321,5753.0322265625,3431.892867152179
31240700,동탄6동,31240610,동탄1동,테스트구역 내부/상호,2293.8645208634425,7071.1650390625,4777.3005181990575
31240620,동탄3동,31240550,반월동,테스트구역에서 나감,2271.1761720008217,3888.576904296875,1617.4007322960533
31240690,동탄7동,31140520,대원동,테스트구역에서 나감,2256.5364651529517,400.4880065917969,1856.0484585611548
31240550,반월동,31240620,동탄3동,테스트구역으로 들어옴,2179.0507692314577,5135.9189453125,2956.8681760810423
31240520,진안동,31240610,동탄1동,테스트구역으로 들어옴,2172.3632537358953,1710.616943359375,461.74631037652034
23080810,불로대곡동,31230560,장기동,테스트구역에서 나감,2171.572823898511,1290.7889404296875,880.7838834688237
31240610,동탄1동,31192540,기흥동,테스트구역에서 나감,2169.117766421961,919.27001953125,1249.8477468907108
31240600,동탄2동,31140540,신장동,테스트구역에서 나감,2134.795045594449,1870.6800537109375,264.1149918835117
31240610,동탄1동,31240540,병점2동,테스트구역에서 나감,2127.563377887032,1196.60498046875,930.958397418282
31021520,신흥2동,31021680,위례동,테스트구역으로 들어옴,2104.5248936765147,2049.5859375,54.938956176514694
23080850,당하동,23080840,오류왕길동,테스트구역에서 나감,2086.3919435425905,7112.01220703125,5025.6202634886595
23080870,원당동,23080880,아라동,테스트구역 내부/상호,2039.4921821025462,695.5590209960938,1343.9331611064524
31140540,신장동,31240610,동탄1동,테스트구역으로 들어옴,2025.1699858997872,788.416015625,1236.7539702747872
31180650,위례동,31021680,위례동,테스트구역 내부/상호,2017.758539520192,7921.22705078125,5903.468511261058
31240700,동탄6동,31140510,중앙동,테스트구역에서 나감,1994.4469479297713,6738.32080078125,4743.873852851479
31240650,동탄5동,31191510,중앙동,테스트구역에서 나감,1974.5916806978325,191.3209991455078,1783.2706815523247
31240650,동탄5동,31192550,서농동,테스트구역에서 나감,1961.3723444217494,1452.406005859375,508.9663385623744
31230130,양촌읍,23080800,검단동,테스트구역으로 들어옴,1936.5147077027007,2931.468994140625,994.9542864379243
31021680,위례동,31021610,산성동,테스트구역에서 나감,1915.2911416484728,1440.239990234375,475.05115141409783
31240530,병점1동,31240620,동탄3동,테스트구역으로 들어옴,1888.855433765023,3046.087890625,1157.232456859977
